0,565,4,529,48,537,42,573	erji
397,527,598,518,599,559,399,568	requireme
171,526,285,526,285,563,171,564	white-
281,561,282,524,375,528,374,565	e-box
72,563,74,524,148,527,147,565	this
493,472,598,472,598,502,494,502	acces
192,510,192,469,413,469,413,510	recognizer
110,500,112,463,173,466,171,503	the
276,443,279,402,326,404,324,446	to
336,436,337,404,570,406,570,438	adversarial
47,436,47,405,264,409,263,440	vulnerable
4,379,5,347,79,350,78,382	een
337,384,338,342,501,346,500,388	recently
97,345,322,336,323,378,98,387	questioned
522,376,523,338,594,340,593,378	[29
71,316,71,279,288,282,287,319	robustness
0,317,0,279,48,283,45,321	he
373,315,373,275,600,278,599,317	skeleton-bo
503,255,504,227,598,229,597,257	sour
70,255,71,226,126,227,126,256	an
1,257,1,226,61,226,61,257	her
135,258,135,215,387,215,387,258	independent
401,252,402,217,492,220,491,255	data
50,205,50,156,164,157,164,207	plays
532,193,532,157,600,158,599,194	hur
242,192,242,156,335,156,335,192	vital
466,194,469,155,514,158,512,197	in
357,192,360,152,443,157,440,197	role
125,64,125,22,356,26,355,68	Abstract
