414,442,472,441,473,473,415,474	we
495,438,594,437,594,469,495,470	show
229,471,229,434,385,435,385,472	BASAR,
32,468,34,429,210,439,208,477	Through
27,420,27,377,128,379,128,421	pose
142,409,143,373,206,375,205,412	the
315,408,315,369,518,374,518,412	black-box
214,418,216,370,304,375,302,423	first
530,413,530,372,599,372,599,413	lad
509,349,509,312,599,312,599,349	setti
34,348,35,311,129,314,127,351	exist
288,347,288,310,493,313,493,350	black-box
146,349,147,309,272,311,272,350	under
470,297,470,253,597,253,597,298	paper
380,286,382,250,457,254,455,291	this
31,284,33,241,269,255,266,298	threatening
317,288,320,247,367,249,365,291	In
446,225,447,194,599,197,598,228	scenari
327,223,328,191,426,194,425,226	most
30,189,237,188,237,225,30,226	restrictive
261,228,262,188,308,188,308,228	in
588,153,588,151,592,151,592,153	-
577,155,577,143,594,143,594,155	W.
474,162,475,127,547,129,546,164	this
254,156,256,122,440,132,438,166	However
36,130,202,129,202,164,36,165	attacker
33,100,34,64,94,66,93,103	the
509,101,510,65,572,65,572,102	the
113,105,114,59,421,67,420,113	full-knowledge
456,77,456,72,464,72,464,77	the
364,41,364,11,433,11,433,41	are
444,39,445,0,599,6,598,44	vulnera
173,40,174,4,254,5,253,41	that
267,46,268,3,351,6,350,48	they
33,3,158,2,159,38,33,39	shows
