11,588,12,578,41,578,40,588	ttack
3,580,10,579,11,586,5,587	A
182,549,182,548,183,548,183,549	I
37,554,37,545,83,545,83,554	successes
180,552,181,544,189,545,188,553	to
126,543,175,543,175,553,126,553	vulnerable
0,552,0,542,34,543,34,553	arkable
85,543,102,543,102,554,85,554	are
103,542,123,541,124,553,103,554	still
121,530,144,530,144,539,121,539	even
31,538,31,530,97,531,97,538	demonstrating
100,539,100,529,119,529,119,539	that
163,539,163,529,189,530,189,539	latest
0,539,0,529,27,529,27,540	thods,
145,539,145,529,162,529,162,540	the
156,517,189,516,189,525,156,525	several
140,517,155,516,156,526,141,526	Rons
53,516,98,515,99,525,54,526	evaluated
0,526,0,515,52,515,52,526	extensively
101,525,101,515,139,516,139,526	BASAR
1,502,62,502,62,511,1,511	mprovements.
127,511,128,501,156,502,155,512	codes
158,501,189,500,189,511,158,511	shared
65,511,65,501,95,501,95,511	Based
95,501,111,500,111,512,96,513	don't
110,511,110,501,127,501,127,511	the
166,498,167,487,188,489,187,500	sug
110,488,143,487,143,497,110,498	attacks
55,496,55,486,106,487,106,497	adversarial
0,498,0,486,37,488,36,500	rability
145,498,145,486,166,486,166,498	and
171,475,190,474,190,485,172,486	yex-
0,484,0,473,60,474,60,485	mplementary
116,474,155,473,155,483,116,484	research
75,484,75,474,112,474,112,484	existing
157,485,157,472,171,473,171,486	by
62,484,62,473,75,473,74,484	to
7,467,7,465,8,465,8,467	I
6,467,6,465,7,465,7,467	I
8,465,8,464,9,464,9,465	the
7,465,8,464,9,465,8,466	I
6,465,7,464,8,465,7,466	I
7,465,7,464,9,464,9,465	I
6,465,7,463,8,464,7,465	I
7,464,7,463,8,463,8,464	the
5,464,5,463,6,463,6,464	-
3,464,3,463,4,463,4,464	a
5,463,5,462,6,462,6,463	the
0,467,1,459,12,461,11,469	d.
73,455,73,446,114,447,114,455	,resulting
135,457,135,445,189,445,189,457	lightweight
39,455,39,445,72,445,71,456	Imodel,
11,445,38,444,39,456,11,456	GCN
0,456,0,445,11,445,11,456	he
115,456,115,445,135,445,135,456	inal
60,442,61,431,92,433,92,443	.Zhang
120,431,142,431,143,443,121,444	js8]
1,433,57,431,58,441,1,443	pendencies.
145,441,145,432,188,432,188,441	introduce
92,432,106,431,107,441,94,443	get
105,441,105,431,120,431,120,441	tal.
41,419,81,418,81,428,41,429	operator
100,429,100,418,145,418,145,429	capturing
147,417,189,417,189,429,147,429	complex
13,428,13,416,39,417,39,429	IGCN
1,420,7,418,9,422,3,424	a
81,417,99,415,100,428,82,429	for
162,407,167,407,167,411,162,411	a
117,405,158,404,158,413,117,414	contains
20,403,82,403,82,415,20,415	convolutions,
168,403,190,403,190,414,169,414	unit
86,414,86,403,117,403,117,414	which
0,403,20,402,20,415,0,416	aph
0,400,0,390,37,391,37,401	lations,
145,399,146,390,190,392,189,401	disentan-
112,390,142,389,142,400,112,401	utilize
88,402,88,389,111,389,110,402	132]
59,399,59,390,71,390,71,400	et
72,400,72,389,87,390,86,400	al.
38,389,59,388,59,400,38,401	Liu
153,386,153,375,190,376,189,387	capture
92,375,136,375,136,387,92,387	example,
46,387,46,375,68,375,67,388	160)
138,386,138,375,152,375,152,386	,to
72,386,72,375,92,375,92,386	For
28,386,29,373,45,374,44,387	10,
7,363,22,363,22,373,7,373	on
24,363,55,362,56,373,24,374	graphs
123,373,123,362,171,362,171,373	recognize
72,373,72,362,121,362,121,373	effectively
172,361,190,361,191,373,173,374	the
57,372,57,362,69,362,69,372	to
165,358,166,349,190,351,190,360	CON-
0,360,0,347,56,348,56,360	neighboring
125,350,164,348,164,358,126,361	perform
96,360,96,347,122,347,122,360	They
58,347,92,347,92,359,59,360	joints.
167,341,167,340,168,340,168,341	I
168,338,168,337,169,337,169,338	the
105,335,160,334,160,345,105,346	correspond
20,341,22,335,26,337,23,342	to
173,334,190,333,191,344,173,345	the
75,344,76,332,105,334,104,346	edges
0,344,0,333,14,333,14,344	ond
161,343,162,334,171,334,171,344	to
55,333,76,332,76,344,55,344	and
26,345,26,332,56,332,55,346	joints
70,327,71,326,72,327,71,328	I
70,327,70,325,71,325,71,327	I
69,328,69,323,73,323,73,328	a
54,330,54,321,67,322,67,330	Ias:
75,319,129,319,129,332,75,333	topological
13,329,13,320,53,320,53,329	skeleton
159,320,190,319,190,330,159,331	where
129,320,158,318,159,332,129,333	graph
0,319,13,319,13,330,0,331	he:
82,315,82,307,120,308,120,315	network
12,306,78,306,78,316,12,316	convolutional
161,317,161,305,189,306,189,317	based
122,318,122,305,159,306,158,319	(GCN)
0,309,2,307,4,309,2,311	I
44,303,44,293,73,293,73,303	stores
125,301,125,292,164,293,164,302	skeleton
7,292,43,292,43,302,7,302	column
82,292,111,291,111,302,82,302	frame
112,302,112,291,125,291,125,302	Coff
165,304,165,290,189,290,189,304	joint
151,279,188,278,188,289,151,290	pscudo-
50,288,50,279,84,279,84,288	motion
0,278,28,278,28,289,0,289	sform
85,289,85,277,108,277,108,289	data
132,289,133,277,150,278,149,290	2D1
109,288,109,277,131,277,130,289	into
29,288,30,276,48,278,47,290	the
0,276,0,264,35,264,35,276	cognize
90,274,90,264,112,264,112,274	data
55,274,55,265,88,265,88,274	motion
36,275,36,263,53,263,53,275	the
175,264,190,263,191,274,176,275	To
136,272,137,263,150,264,149,273	25,
112,263,133,262,133,276,112,277	131,
153,273,154,262,173,264,172,275	421.
1,260,1,251,40,251,40,260	methods
142,259,142,251,185,252,185,259	classifica
42,250,58,250,58,263,43,263	try
108,261,108,250,138,250,138,262	image
74,250,106,250,106,260,74,260	utilize
61,251,72,250,72,260,62,260	to
70,237,132,236,132,246,70,247	classification
34,237,68,237,68,246,34,246	motion
154,247,154,236,172,236,172,247	.30,
0,246,0,236,15,236,15,247	uct
172,246,173,235,192,237,191,247	41,
132,236,154,235,155,248,133,248	115,
16,236,33,235,33,246,16,247	the
31,225,73,224,73,232,31,232	common
104,224,163,223,163,231,104,231	architectures
165,232,165,222,189,222,189,233	such
75,233,75,222,102,222,102,233	RNN
0,234,0,221,29,222,29,234	mploy
81,218,81,210,93,210,93,218	as
24,218,24,208,57,208,57,218	motion
59,209,80,208,81,218,59,218	data
125,208,152,207,152,218,125,219	series
102,208,123,208,124,218,102,218	time
153,207,189,207,189,220,153,220	sofjoint
6,208,23,208,23,219,6,219	the
0,196,27,195,27,205,0,206	he-art
131,195,157,195,158,205,131,205	them,
92,205,93,194,128,195,128,205	Among
28,195,92,194,92,205,28,205	performance.
158,205,159,194,189,195,189,205	RNN-
121,190,121,181,162,181,161,190	methods
0,182,12,181,13,190,0,192	ent
44,190,45,179,83,181,83,192	learning
16,192,17,180,41,180,41,192	deep
87,190,88,180,117,181,117,191	based
166,180,190,180,190,190,166,190	have
0,168,19,167,19,177,0,177	ons.
167,177,167,167,189,167,189,177	ineu-
120,177,120,166,151,167,150,178	ability
24,175,25,165,73,167,72,177	Benefiting
153,167,166,167,166,176,153,176	of
76,166,101,166,101,176,76,177	from
101,166,119,166,119,177,102,177	the
67,153,115,152,115,164,68,165	recognize
