165,347,189,347,189,360,165,360	122]
108,348,162,347,163,358,109,359	recognition
77,347,107,347,107,358,77,358	action
0,357,0,347,20,348,20,357	tical
23,358,23,347,44,347,44,358	flow
46,357,46,346,75,347,75,358	based
1,335,44,334,44,343,1,344	networks
104,333,158,333,158,344,104,344	Untargeted
160,333,189,332,190,343,160,344	attack
80,345,80,332,100,332,100,345	121.
45,345,45,332,79,332,79,346	(ATN)
69,324,69,323,70,323,70,324	I
0,321,14,320,14,330,0,330	ten
146,321,187,320,187,329,146,330	adversar
14,320,62,320,62,328,14,329	conducted
130,320,145,319,145,329,130,330	Jon
66,329,67,320,82,320,82,330	129,
103,319,130,319,130,329,103,329	based
84,331,84,319,103,319,102,331	20jb
0,315,0,307,9,308,9,315	or
71,316,71,305,102,305,102,316	series
11,308,46,305,47,315,12,317	general
105,306,160,305,160,314,105,314	multivariate
163,305,187,305,188,315,163,316	time-
48,315,48,305,71,305,71,315	time
24,302,24,292,53,292,53,302	laction
134,292,174,292,174,301,134,301	attracted
54,292,108,291,108,301,54,302	recognition
175,292,189,292,189,301,175,302	lat-
108,292,133,291,133,301,109,302	have
5,291,22,290,23,300,5,301	and
178,282,178,281,179,281,179,282	we's
74,282,74,281,75,281,75,282	the
177,288,177,278,189,278,189,288	at-
122,287,122,278,173,279,173,288	adversarial
5,287,5,278,66,279,66,288	classification
105,290,105,277,122,277,121,290	,5J,
71,278,85,278,85,287,71,287	119,
89,288,89,276,107,277,107,288	,26,
111,273,111,265,154,265,154,273	common
157,264,188,264,188,273,157,274	vision-
87,273,87,263,111,263,111,273	from
14,264,53,263,53,272,15,274	attacker.
57,274,57,262,86,263,85,275	Apart
0,263,15,262,15,273,0,274	thea
4,259,4,254,12,254,12,259	19.
164,259,165,248,187,250,186,261	eclas-
82,259,82,249,109,250,109,260	I-knowl
16,251,45,249,45,259,16,260	where
109,261,109,249,135,250,135,262	wledge
63,260,63,249,81,249,81,260	full-
148,260,148,249,166,249,165,260	fthe
136,249,150,249,150,260,136,260	eoft
46,249,62,249,63,260,46,260	the
31,242,31,240,33,240,33,242	the
82,236,108,235,108,245,83,246	Most
147,245,147,235,190,235,189,246	consider
28,247,28,236,42,236,42,247	[1,
123,245,123,235,147,235,147,245	them
0,246,0,235,25,235,25,246	tasks
108,245,109,235,122,236,121,246	tof
59,247,59,234,80,235,79,248	,59)
40,235,58,235,59,245,41,246	,44,
170,232,171,221,190,223,189,234	nex-
82,231,82,222,122,222,122,231	methods
0,231,0,223,10,223,10,231	adv
51,222,79,222,79,231,51,231	attack
123,222,147,221,147,231,123,232	have
9,223,49,222,49,230,9,231	versarial
147,221,172,220,172,231,147,232	been
10,209,10,200,37,201,37,210	Attack
2,209,2,200,13,200,13,209	:At
4,187,4,180,12,180,12,187	A
11,188,11,178,41,179,40,188	tttack
37,145,82,145,82,154,37,154	successes
84,144,102,143,103,153,85,154	arc
179,153,179,144,189,144,189,153	to
126,143,175,142,175,153,126,153	vulnerable
0,143,34,143,34,153,0,153	arkable
103,142,123,142,124,154,103,154	still
121,131,144,130,144,139,121,140	even
30,140,30,130,98,130,98,140	demonstrating
100,139,100,129,119,129,119,139	that
163,139,163,129,190,129,189,140	latest
0,138,0,128,27,129,27,140	thods,
145,139,145,128,162,129,161,140	the
140,116,155,116,156,126,141,126	Rons
156,116,189,116,189,125,156,125	several
0,126,0,116,52,116,52,126	extensively
100,125,100,114,139,115,139,126	BASAR
54,124,54,116,98,116,98,124	evaluated
0,103,62,103,62,111,0,112	mprovements.
127,112,127,101,156,101,156,112	codes
158,111,158,101,189,101,189,111	shared
95,102,110,101,111,112,96,112	dont
65,111,65,101,95,101,95,112	Based
110,112,110,101,127,101,127,112	the
167,98,167,87,187,88,187,99	sug
109,88,143,87,143,97,109,98	attacks
0,98,0,87,37,88,36,99	erability
55,97,55,88,106,88,106,97	adversarial
145,86,166,86,166,97,146,98	and
172,85,172,74,189,74,189,85	ex-
0,84,0,73,60,74,59,85	mplementary
115,74,154,72,155,82,116,84	research
75,84,75,73,113,74,112,84	existing
62,73,75,73,75,84,62,84	to
157,85,157,73,171,73,171,85	by
6,64,6,63,7,63,7,64	I
1,64,1,62,3,62,3,64	a
1,67,4,59,13,62,11,70	od.
73,55,73,45,114,46,114,57	resulting
135,56,135,45,189,45,189,56	lightweight
39,55,39,46,71,46,71,55	Imodel,
0,56,0,45,11,45,11,56	he
11,56,11,45,39,45,39,56	GCN
115,45,135,44,135,56,115,56	inal
1,33,56,32,56,41,1,42	pendencies.
120,43,120,31,143,31,143,43	js8]
144,32,189,32,189,41,144,41	introduce
61,42,61,31,92,32,92,43	Zhang
93,32,106,31,107,42,94,43	get
105,42,105,31,119,31,119,42	tal.
41,19,81,18,81,28,41,29	operator
100,19,144,19,144,28,100,28	capturing
1,22,4,18,7,21,4,25	a
147,18,189,16,190,29,147,30	complex
13,28,13,17,39,17,39,28	GCN
82,17,99,16,99,28,82,28	for
118,5,158,5,158,12,118,13	contains
20,5,82,4,82,12,20,13	convolutions,
169,4,190,3,191,13,169,14	unit
86,4,116,3,117,13,86,14	which
0,3,20,2,20,15,0,16	aph
