485,544,598,541,599,597,486,600	Iclos
62,536,347,531,348,595,63,600	manifold
362,594,362,537,475,537,475,594	and
60,517,65,442,180,451,175,525	Fig
287,501,288,445,471,448,470,504	where
183,413,184,355,369,358,368,416	frame
64,358,165,352,169,426,69,432	gle
457,414,457,354,571,354,571,414	and
71,331,71,268,316,268,316,331	(GMW)
333,269,398,265,401,325,336,329	to
414,323,417,262,582,268,580,329	solve
272,179,525,173,526,241,273,246	propose
160,233,160,175,264,175,264,233	We
495,94,495,31,598,31,598,94	IM
64,30,199,28,200,90,65,92	3.1.
213,26,491,25,491,96,213,97	Guided
