357,381,560,372,563,428,359,433	problems
142,381,342,378,342,427,142,430	Aimed
341,349,341,292,600,295,600,351	adversar
0,293,72,291,73,345,0,347	he
95,291,314,288,314,346,95,349	current
477,269,477,211,593,211,593,269	exp
5,202,123,199,124,254,7,257	tion.
186,195,461,192,461,257,187,259	Random
43,165,43,105,292,105,292,165	random
307,170,307,99,600,99,600,170	exploration
60,67,60,65,63,65,63,67	I
58,67,58,65,61,65,61,67	is
57,67,57,65,59,65,59,67	I
59,65,59,63,61,63,61,65	is
30,64,30,62,32,62,32,64	I
44,53,52,53,52,56,44,56	the
43,56,43,53,45,53,45,56	the
26,56,26,53,28,53,28,56	the
55,54,55,52,57,52,57,54	I
53,54,53,52,55,52,55,54	the
25,53,27,51,29,53,27,55	the
24,54,24,52,26,52,26,54	the
34,73,34,47,78,47,78,73	21.
24,52,24,50,27,50,27,52	the
24,51,24,48,26,48,26,51	the
43,48,46,46,47,47,45,49	the
42,48,44,46,46,47,43,49	the
56,45,57,43,59,44,57,46	I
33,44,33,42,36,42,36,44	I
34,43,34,41,37,41,37,43	I
32,43,32,41,35,41,35,43	I
31,43,31,41,33,41,33,43	a
228,15,373,11,374,73,229,77	each
7,24,69,23,69,70,8,70	3]
398,69,399,8,600,14,600,75	iteration
136,13,208,12,209,72,136,73	In
