338,566,339,504,599,507,598,569	conducts
67,510,314,504,316,555,68,561	BASAR
445,454,445,451,448,451,448,454	I
435,447,435,444,438,444,438,447	the
435,444,435,441,438,441,438,444	the
435,440,435,437,438,437,438,440	the
421,419,596,418,596,465,421,466	n-boun
58,484,63,413,147,419,142,490	by
175,413,433,411,433,472,175,474	decision
517,399,517,333,600,333,600,399	pro
175,347,175,344,178,344,178,347	I
401,326,496,325,497,381,401,382	the
152,323,374,322,374,391,153,393	exploit
65,382,65,326,130,326,130,382	to
377,290,377,227,599,229,598,293	bounda
63,229,350,225,352,294,64,298	sification
483,142,600,139,600,198,484,201	Iclos
360,137,473,135,474,195,362,198	land
59,132,348,127,349,200,60,204	manifolda
60,114,66,41,181,51,175,124	Fig
283,46,471,44,472,102,284,105	where
410,9,410,5,419,5,419,9	-
87,0,160,0,160,17,88,20	the
457,12,457,1,565,1,565,12	air
187,12,188,1,357,4,357,15	mum
