446,510,594,509,594,564,447,564	rand
13,561,13,504,412,507,412,564	sub-routines:
175,422,350,419,351,469,175,471	attack
5,415,142,412,143,472,6,475	ased
377,483,379,408,475,412,473,486	[31.
154,379,154,325,288,325,288,379	both
319,374,320,317,600,324,599,380	simultane
59,379,61,318,132,321,129,382	of
164,235,290,234,290,290,164,291	data
37,235,134,233,135,289,38,290	the
313,229,594,224,595,288,314,294	manifold
330,151,445,149,446,197,330,198	non
221,141,319,141,320,196,222,197	the
448,193,450,136,600,141,598,198	a-line
22,143,201,135,204,196,25,203	Given
466,103,467,60,593,61,592,105	sam
2,49,100,46,102,106,4,109	leal
117,44,452,43,452,103,117,104	adversarials
428,12,428,2,529,2,529,12	Jiv
316,16,316,0,383,0,383,16	the
