355,600,355,585,412,586,411,600	17
233,594,236,583,251,587,249,597	you
211,585,222,585,222,590,211,590	the
76,589,76,585,81,585,81,589	the
68,583,68,580,71,580,71,583	I
89,576,160,575,161,597,89,598	The
485,590,488,576,498,578,495,593	I
286,579,308,576,310,589,288,592	and
166,540,166,465,308,466,307,541	[32]
1,528,1,465,137,465,137,529	53D
482,463,581,458,582,529,486,534	SG
336,461,460,456,463,524,339,529	and
253,367,582,352,582,426,256,441	recognitic
24,365,231,357,234,424,27,431	action
0,210,111,205,115,275,2,280	ets
