0,535,0,471,82,471,82,535	ed
128,474,507,472,507,532,128,535	benchmark
190,416,190,413,193,413,193,416	I
353,447,353,376,582,377,582,448	represe
10,431,14,362,310,379,306,448	fficiently
277,306,277,303,280,303,280,306	a
275,306,275,303,278,303,278,306	the
275,304,275,301,279,301,279,304	the
275,297,275,294,277,294,277,297	the
525,332,525,284,582,284,582,332	-ar
270,315,270,285,299,285,299,315	_
109,276,271,273,272,329,110,333	state-
392,332,393,269,508,271,507,334	-the-
291,267,402,264,404,330,294,334	-of-ti
5,333,5,267,77,267,77,333	th
347,229,348,165,582,168,582,232	method
1,220,2,169,329,175,328,227	CN-based
165,141,165,65,307,65,307,141	[32]
1,128,1,65,137,65,137,129	53D
336,62,460,58,463,124,339,129	and
482,63,581,58,582,129,485,134	SG
105,24,105,3,236,5,236,26	uoit
246,9,580,4,581,32,247,37	ICCOGNITY
22,25,24,0,105,1,104,30	ac
