521,577,595,577,596,600,521,600	sam
23,575,114,574,115,599,23,600	study
222,600,222,569,283,569,283,600	the
124,600,124,568,207,568,207,600	later
289,571,507,568,508,597,290,600	on-manifold
403,515,552,513,552,556,403,558	samples.
197,520,394,518,394,549,198,551	adversarial
18,516,181,512,182,544,19,549	manifold
370,471,437,471,437,497,370,498	can
460,501,461,469,597,471,597,503	generate
19,465,136,462,137,494,20,496	results
202,492,202,463,345,464,345,493	BASAR
456,450,456,404,597,404,597,450	projecti
23,412,179,411,179,438,23,439	BASAR
278,407,442,404,442,439,279,442	manifold
192,442,192,407,266,407,266,442	The
88,384,89,354,225,357,225,386	datasets
482,387,482,355,598,355,598,387	demon
332,387,332,354,461,355,461,388	models
246,389,246,353,319,353,319,389	and
19,354,69,352,70,389,21,392	all
530,302,591,300,592,336,531,338	the
418,336,418,301,510,301,510,336	First
194,303,394,297,395,336,196,341	projection
20,301,183,298,184,331,21,335	manifold
420,284,420,248,566,249,566,284	(MP/NO
274,281,274,245,398,246,398,281	studies
21,282,21,247,100,247,100,282	duct
117,280,117,247,259,247,259,280	ablation
318,202,449,200,449,225,318,226	success
192,192,301,191,301,229,192,230	100%
526,192,575,190,576,228,527,229	all
20,188,172,188,172,227,21,228	achieves
523,162,523,159,526,159,526,162	the
525,158,534,158,534,162,525,162	and
521,159,521,157,524,157,524,159	I
301,173,302,145,358,146,358,174	are
521,152,521,150,524,150,524,152	wines
163,174,163,141,281,141,281,174	results
379,171,379,141,490,141,490,171	shown
512,171,512,144,547,144,547,171	in
74,138,146,138,146,173,74,174	The
362,122,362,90,573,91,572,124	respectively
23,117,24,87,167,89,167,119	Kinetics
180,118,181,85,250,86,249,120	and
257,87,350,85,350,115,258,117	NTU
402,38,459,37,460,67,402,68	are
469,66,471,29,549,32,548,69	500,
218,63,218,30,383,32,383,65	iterations
19,33,200,28,201,60,20,65	maximum
326,7,326,4,329,4,329,7	I
15,17,15,0,186,1,186,17	Tangoing
447,15,447,0,517,0,517,15	said
345,14,345,1,435,1,435,14	1200
203,19,203,0,335,0,335,19	sample
529,14,529,0,594,0,594,14	jook
