542,558,597,555,598,582,543,584	em
168,582,168,551,312,553,312,584	features,
342,550,435,548,436,582,343,584	SGN
454,549,527,548,527,582,454,583	also
4,546,148,546,148,581,4,581	ification
524,502,597,501,597,529,524,530	netv
460,531,460,502,512,502,512,531	on
300,494,370,493,371,528,300,529	and
178,495,283,494,283,527,178,528	bones
97,528,97,494,168,495,168,529	and
373,532,375,491,450,494,448,536	rely
2,527,2,492,86,492,86,527	oints
92,474,93,448,170,449,170,475	uses
357,444,504,443,505,473,358,475	STGCN
521,440,589,437,590,474,522,476	and
215,443,335,439,336,471,216,474	Unlike
0,477,0,438,82,441,81,480	GN
466,416,466,411,473,411,473,416	a
371,389,439,388,440,421,371,421	that
3,389,103,387,104,421,4,423	ttack
194,391,357,385,358,420,195,426	speculate
557,422,558,386,598,387,598,423	to
488,423,488,386,550,386,550,423	has
118,424,118,386,182,386,182,424	We
6,338,139,334,140,367,6,371	MSG3D.
256,335,403,332,404,367,257,370	includes
417,334,502,333,502,366,417,366	both
510,330,599,329,599,375,511,376	joint
163,367,163,330,245,331,244,368	This
17,304,17,301,25,301,25,304	the
551,312,552,287,597,289,596,314	COI
307,318,308,280,407,284,405,322	every
254,315,254,285,304,285,304,315	on
419,281,541,280,541,312,419,313	dataset
137,311,137,281,241,281,241,311	AB/B
59,279,128,276,129,312,61,315	and
10,295,21,273,49,287,38,309	a
0,266,0,231,79,232,78,267	vays
293,265,294,225,401,228,400,268	larger
88,228,187,227,188,257,89,259	needs
455,259,455,226,529,226,529,259	fool
405,227,447,224,449,261,407,263	rtof
196,229,236,225,239,259,199,262	told
241,226,287,224,289,260,242,262	be
534,262,535,222,599,224,598,263	ISG
448,199,448,196,452,196,452,199	I
549,208,549,178,600,178,600,208	res
442,202,445,177,471,180,469,205	at
2,178,126,174,127,204,3,208	latasets.
483,205,483,173,539,173,539,205	the
166,173,269,171,269,205,167,207	When
283,204,284,171,421,176,420,209	looking
320,124,460,115,462,151,323,160	general
4,123,121,119,122,148,5,152	ullible.
523,119,583,117,585,151,524,154	the
155,151,155,117,256,117,255,152	SGN,
270,118,314,116,316,154,271,156	in
480,150,483,116,514,119,510,153	is
548,100,548,71,600,72,600,100	red
183,68,274,66,274,97,183,99	other
295,97,295,65,400,66,400,97	words,
5,98,5,64,102,65,102,99	ttack
428,97,428,65,533,66,533,97	action
130,69,167,66,169,93,132,95	In
568,28,568,25,571,25,571,28	I
0,17,42,13,45,49,0,53	get
191,44,191,10,406,12,406,46	consistently
54,11,181,10,181,42,55,43	models
559,43,559,12,594,12,594,43	the
466,13,545,9,547,41,468,45	both
421,14,456,10,460,42,424,46	in
