0,580,0,549,77,551,76,582	Intic
95,580,96,548,237,550,237,583	features,
0,527,0,501,46,503,45,529	rn
162,495,234,494,234,531,162,531	clas-
58,504,149,495,152,528,61,537	good
181,475,181,450,250,452,250,477	raw
102,475,102,448,166,448,166,475	use
1,441,85,439,86,473,1,475	hich
184,421,184,389,250,389,250,421	that
25,423,26,384,169,387,169,425	features
86,361,86,360,89,360,89,361	the
87,360,87,358,89,358,89,360	the
91,358,91,356,92,356,92,358	a
93,357,93,355,95,355,95,357	-
111,356,111,354,113,354,113,356	I
88,352,88,350,90,350,90,352	the
86,350,89,350,89,352,86,352	the
85,350,86,349,88,350,87,351	a
89,350,89,348,91,348,91,350	the
2,335,104,329,106,370,4,375	joint-p
99,337,249,329,251,367,101,375	position
27,309,28,278,180,281,180,312	STGCN
183,279,250,279,251,313,184,314	and
234,258,234,256,235,256,235,258	the
217,256,217,255,218,255,218,256	the
38,251,38,249,40,249,40,251	I
38,250,38,248,40,248,40,250	I
38,249,38,247,40,247,40,249	I
38,247,38,246,40,246,40,247	I
147,255,157,239,174,250,164,265	by
38,246,38,245,40,245,40,246	I
38,245,38,243,40,243,40,245	I
188,245,188,243,189,243,189,245	mother
38,244,38,242,40,242,40,244	I
189,243,189,242,191,242,191,243	WHITE'S
38,243,38,241,40,241,40,243	I
38,242,38,240,40,240,40,242	I
27,265,28,226,138,229,136,269	larger
159,238,159,235,164,235,164,238	the
177,263,178,226,249,228,248,265	Aa,
230,198,232,194,235,196,233,199	a
219,195,219,193,220,193,220,195	I
216,192,216,190,218,190,218,192	I
214,188,214,186,216,186,216,188	I
215,186,215,184,217,184,217,186	,
226,184,228,183,229,184,227,185	I
225,184,225,183,226,183,226,184	I
232,184,232,183,233,183,233,184	the
0,174,187,171,188,203,0,207	erturbation
205,178,242,173,245,196,208,201	al-
75,153,75,119,191,121,190,155	across
0,118,63,117,64,150,0,152	fool
204,150,205,116,251,117,250,151	all
116,104,117,65,246,67,245,106	equally
42,98,43,65,104,66,103,99	not
103,13,252,9,253,48,104,52	targeted
29,11,93,10,93,43,30,44	and
