422,351,422,317,568,317,568,351	targeted
34,350,34,315,73,315,73,350	to
193,350,193,313,247,313,247,350	To
253,348,253,311,381,312,380,349	initiate
82,349,83,310,173,312,172,351	3000.
165,267,206,266,207,295,166,296	as
30,294,31,263,155,264,155,295	dataset
472,294,473,260,586,262,585,297	attack,
267,261,460,261,460,299,267,299	untargeted
215,260,258,259,258,297,216,298	in
545,216,599,214,600,239,546,242	nu
27,217,82,214,83,239,28,241	we
445,238,445,212,539,214,539,240	same
381,208,438,207,438,239,382,240	the
268,205,373,205,373,242,268,242	select
84,242,86,201,260,207,258,247	erandomlys
0,124,50,121,52,160,1,162	ck
1,72,1,37,67,37,67,72	tion
71,71,73,36,134,38,132,73	4.5.
375,5,529,2,529,15,375,18	Vailation
131,22,131,2,360,5,360,25	periomanice
539,1,600,0,600,17,539,18	did
67,17,67,0,123,0,122,19	use
1,18,1,0,57,0,57,18	ave
