179,347,180,316,283,317,283,347	attack
19,316,169,313,169,352,20,354	targeted
541,312,598,310,599,345,542,347	larg
381,308,531,305,532,350,382,353	requires
72,263,184,262,184,292,73,294	attack,
206,294,206,261,283,261,283,294	with
2,294,2,261,61,261,61,294	ted
386,262,472,261,472,287,386,288	terns
487,254,556,252,557,289,488,291	and
45,215,138,214,139,238,46,239	same
0,240,0,213,40,214,39,242	help
145,209,286,209,286,240,145,241	number
505,234,505,203,599,203,599,234	differ
388,235,388,201,497,201,497,235	where
381,146,551,144,552,185,382,187	sification
566,182,566,145,600,145,600,182	fe
381,136,381,94,486,95,485,138	joints
499,93,568,91,569,128,500,131	and
492,76,493,46,570,48,569,77	uses
384,73,385,43,483,45,483,74	SGN
237,15,237,13,239,13,239,15	the
237,10,238,9,240,11,238,12	I
386,19,386,2,502,4,501,22	allack,
140,18,141,0,238,2,237,24	analys
526,1,580,0,581,20,527,21	we
3,4,129,2,130,15,3,18	article
228,1,282,0,284,16,230,21	YSIS
