142,352,143,310,238,312,238,353	large
500,312,539,311,540,345,500,346	to
248,312,489,306,490,345,249,351	perturbations
551,310,600,309,600,343,552,345	bri
1,310,130,309,130,349,1,350	equires
0,287,1,264,72,265,71,288	erns
511,257,596,254,598,298,513,301	type
418,289,419,255,500,257,499,291	This
169,264,380,261,380,287,169,290	correlations.
87,254,156,253,156,289,88,291	and
442,233,442,231,444,231,444,233	a
463,210,519,209,520,235,464,237	are
524,239,524,208,600,208,600,239	enco
357,241,358,202,454,204,453,244	types
262,203,349,196,352,236,265,242	joint
105,234,105,202,259,203,259,234	different
0,203,97,199,99,236,0,240	vhere
543,181,543,158,599,158,599,181	em
344,149,441,147,442,180,344,182	SGN
455,181,455,148,526,149,526,182	also
170,149,309,148,309,180,170,181	features,
2,146,149,146,149,180,2,181	ification
463,129,464,102,512,103,511,129	on
523,128,524,99,599,101,598,130	netw
179,128,179,97,283,98,283,128	bones
1,128,1,96,83,96,83,128	oints
100,130,100,94,169,94,169,130	and
373,135,378,90,451,97,446,143	rely
298,94,369,92,370,127,300,130	and
8,61,8,59,9,59,9,61	a
92,49,168,48,168,73,93,75	uses
357,71,358,43,510,47,509,75	STGCN
0,75,0,42,82,42,82,75	GN
214,40,339,40,339,73,215,74	Unlike
522,39,589,38,590,73,523,74	and
266,10,266,8,267,8,267,10	the
456,20,456,3,479,3,479,20	1t
0,1,102,0,102,20,0,21	llack,
374,19,374,1,440,2,440,20	tnat
194,1,363,0,363,27,194,30	speculate
489,0,549,0,550,20,489,20	nas
126,1,181,0,181,20,127,21	we
561,0,597,0,598,20,562,21	to
