552,600,553,578,600,580,600,600	Fres
1,600,2,574,126,577,125,600	latasets
437,577,466,575,468,600,439,600	at
166,600,166,574,267,576,267,600	When
481,600,482,572,539,573,538,600	the
282,574,421,572,422,600,283,600	looking
320,523,460,518,462,554,322,560	general,
156,551,156,520,254,520,254,551	SGN
524,518,584,517,584,551,525,552	the
271,519,312,517,315,554,273,556	in
2,519,125,517,126,551,3,554	gullible.
478,518,514,516,516,550,480,553	is
549,499,549,471,600,471,600,499	rec
293,498,293,465,401,466,401,499	words,
183,467,275,466,275,499,183,499	other
5,466,103,465,103,499,5,499	ttack
427,466,535,463,536,497,428,500	action
131,495,131,466,169,466,169,495	In
434,434,434,431,437,431,437,434	a
0,414,43,411,45,450,0,453	get
191,445,191,409,407,412,406,448	consistently
54,442,55,410,181,411,180,444	models
466,411,546,409,547,442,466,444	both
558,444,558,411,596,411,596,444	the
420,414,458,410,461,443,423,447	in
501,359,596,359,597,395,502,396	perfo
230,358,300,357,301,391,231,392	that
311,389,312,353,492,358,491,394	BASAR'S
110,359,217,355,219,389,111,393	notice
35,355,100,352,101,392,36,394	We
41,300,41,294,51,294,51,300	the
36,285,36,282,40,282,40,285	the
72,272,266,270,266,309,72,311	Classifier
280,311,280,269,517,269,517,311	Robustness
3,307,4,272,50,273,49,308	1.5.
255,194,319,193,320,220,256,220	can
535,187,593,186,593,220,535,221	the
377,184,480,183,481,218,378,220	found
4,186,119,185,120,217,4,218	litional
133,217,133,183,245,185,245,219	details
321,185,371,182,373,219,323,222	before
487,220,488,182,532,183,531,221	dint
5,166,5,141,96,141,96,166	cross
110,165,110,134,237,134,237,165	models
252,136,283,134,285,164,254,166	is
483,134,563,131,564,163,484,166	with
292,135,470,131,471,164,293,168	consistent
165,84,359,80,359,108,165,112	adversarial
373,78,518,76,519,116,373,118	samples
3,80,146,79,146,110,3,111	nanifold
310,34,377,33,377,60,310,61	can
474,63,474,28,596,28,596,63	produc
3,64,3,28,124,28,124,65	ettings,
150,30,293,26,294,53,151,56	BASAR
389,59,389,24,461,24,461,59	still
256,7,256,4,259,4,259,7	a
254,7,254,4,257,4,257,7	I
175,1,190,0,190,7,175,7	the
226,11,226,0,283,0,283,12	Subject:
102,10,103,0,172,0,172,11	server
