40,600,40,578,66,578,66,600	at
367,581,579,577,580,599,367,600	perturbation
152,600,152,574,269,574,269,600	results
294,600,294,573,354,573,354,600	the
77,600,81,568,141,575,138,600	the
479,528,586,527,586,550,479,551	across
193,519,324,517,325,550,194,552	hardest
125,551,125,519,181,519,181,551	the
0,554,0,516,66,517,65,555	ral,
388,517,464,516,464,551,388,552	fool
74,521,115,516,119,550,78,554	is
338,554,338,516,380,516,380,554	to
373,499,374,469,432,470,432,500	are
514,467,598,466,598,506,515,507	equa
441,500,441,466,505,466,504,501	not
29,469,133,465,134,495,30,499	action
151,472,356,469,356,496,151,499	recognizers
505,452,505,414,594,414,594,452	target
226,416,414,414,415,449,226,451	untargeted
425,412,495,409,497,442,426,445	and
65,410,146,409,147,444,65,444	both
157,410,217,409,217,445,158,446	the
18,412,58,410,59,443,20,445	in
463,390,464,364,571,366,571,391	across
102,361,332,357,333,394,102,397	performance
344,391,344,357,447,358,447,392	varies
1,393,2,354,94,358,92,397	AR's
0,276,119,270,121,310,1,316	stness
474,219,474,190,598,191,598,220	materia
200,226,201,189,464,191,464,229	supplementary
72,198,72,195,75,195,75,198	I
0,188,84,187,84,219,1,219	ound
135,186,192,185,192,221,135,222	the
89,220,89,183,131,183,131,220	lint
241,169,242,135,431,138,430,171	untargeted
3,166,3,135,73,135,73,166	tent
445,134,561,133,561,167,445,168	attack
174,167,174,133,233,133,233,167	the
82,133,164,129,165,164,83,168	with
247,83,474,79,475,112,247,117	performance
490,81,598,79,599,110,490,112	variati
0,77,120,74,121,117,0,119	amples.
160,79,232,78,233,113,161,114	The
380,33,419,32,420,60,381,61	as
234,61,234,31,273,31,273,61	as
72,27,217,22,218,58,73,63	produce
433,59,433,23,576,23,576,60	56.98
283,64,284,20,370,23,369,67	high
0,60,0,23,61,23,61,60	still
411,5,411,1,419,1,419,5	the
384,1,391,1,391,4,384,4	-
445,7,445,0,517,1,517,11	Controller
