443,526,454,524,456,537,444,539	is
266,526,266,521,268,521,268,526	-
266,522,266,518,268,518,268,522	-
43,513,43,510,46,510,46,513	I
43,511,43,508,46,508,46,511	I
8,529,41,496,70,525,37,558	o
194,489,194,486,197,486,197,489	the
191,490,191,486,195,486,195,490	the
127,468,231,465,233,549,129,552	in
236,564,240,451,467,459,463,572	[501.
226,364,226,360,229,360,229,364	I
223,359,223,356,226,356,226,359	I
199,328,584,320,586,404,200,411	BASAR
233,271,235,181,549,186,548,277	results
74,185,216,183,217,269,75,270	the
457,46,600,43,600,127,459,130	bet
0,43,435,21,441,135,0,158	dynamics
