267,525,268,448,515,452,514,528	attacl
88,531,89,441,236,444,234,534	the
47,386,47,383,49,383,49,386	-
32,384,32,381,35,381,35,384	-
38,382,40,380,42,382,40,384	I
24,370,29,370,29,372,24,372	the
64,361,64,358,67,358,67,361	the
62,348,65,348,65,356,62,356	the
26,351,26,348,31,348,31,351	the
285,389,290,299,482,310,477,400	also
103,392,104,302,264,304,263,395	but
0,384,20,301,103,332,72,416	dpi
82,197,82,189,86,189,86,197	I
0,150,485,135,489,267,0,282	projection
21,105,21,102,24,102,24,105	I
19,103,19,100,22,100,22,103	the
253,80,253,76,256,76,256,80	I
251,80,251,76,254,76,254,80	I
251,73,251,70,254,70,254,73	the
290,111,291,49,398,50,397,113	as
411,110,411,46,509,46,509,110	m
81,62,84,59,87,62,84,65	-
50,54,50,52,53,52,53,54	I
96,50,96,48,98,48,98,50	the
0,135,0,14,288,23,284,144	mplesa
