336,600,337,588,368,591,367,600	sam-
80,599,80,588,117,589,117,600	users:
160,586,208,586,208,600,160,600	84.69%
121,599,121,586,157,587,156,600	while
13,598,13,585,52,586,52,599	fooled
254,586,333,586,333,600,254,600	off-manifold
55,599,55,586,75,586,75,599	the
230,586,252,585,253,599,231,600	the
210,599,210,584,230,585,229,600	boft
317,569,368,569,368,583,318,584	samples
239,570,314,569,314,580,239,581	on-manifold
13,583,13,570,116,570,116,583	distinguishability,
148,582,148,569,194,569,194,582	94.63%
216,582,216,568,237,568,237,582	the
197,569,214,567,215,582,198,583	boft
122,582,122,567,145,567,145,582	,but
273,553,294,552,294,564,274,564	are
296,551,332,551,332,564,296,564	tested
221,552,273,550,273,566,222,568	homples
348,566,348,551,369,551,369,566	In-
126,563,126,550,185,551,185,563	f-manifold.
89,551,105,551,106,565,90,566	Ivs
12,552,86,550,86,563,12,564	on-manifold
189,564,189,550,221,550,221,565	Both
104,551,127,550,128,564,105,565	soff-r
334,562,336,550,347,552,346,564	in
268,545,268,533,310,533,310,545	further
197,546,197,534,210,534,210,546	in
99,545,99,533,135,534,135,546	attack
210,548,211,531,244,532,243,549	1501.
137,533,194,532,194,547,137,547	(80.83%)
12,546,12,533,32,533,32,546	the
343,546,343,532,369,532,369,546	into
313,546,313,532,341,532,341,546	look
35,535,95,533,96,545,35,546	white-box
244,548,244,532,268,532,268,548	Weff
146,518,196,517,196,529,146,530	average.
260,528,260,517,290,517,290,528	even
125,528,125,516,143,516,143,528	on
50,517,70,516,71,527,51,528	are
11,529,12,514,46,515,46,530	bility
294,516,367,515,368,528,294,530	outperforms
205,527,205,515,256,515,256,527	BASAR
92,528,92,514,122,514,122,528	90%
73,514,93,513,93,529,73,530	89.9
88,510,88,497,134,498,134,510	Imotion.
272,508,272,497,363,499,363,509	Indistinguisha
210,509,211,497,251,498,250,510	results
38,497,84,496,84,510,38,511	original
253,510,253,497,269,497,269,510	soft
138,511,139,496,184,497,183,512	Finally
187,497,208,496,208,510,187,510	,the
12,511,12,495,37,495,37,511	and
316,493,316,479,368,479,368,493	attacked
239,493,239,479,291,479,291,493	between
177,493,178,479,237,479,237,494	dynamics
76,493,76,480,133,480,133,493	similarity
12,479,50,479,50,492,12,492	forces
154,493,154,478,176,478,176,493	the
136,479,153,478,154,493,137,494	Yoft
52,493,52,478,74,478,74,493	the
293,493,293,477,315,477,315,493	the
347,475,347,463,368,463,368,475	en-
171,475,171,463,193,463,193,475	are
134,463,171,461,172,477,134,478	poses
84,475,84,462,111,462,111,475	sure
192,462,211,462,212,475,193,475	CON
236,474,236,461,292,462,292,474	manifold,
42,475,42,461,82,461,82,475	makes
318,461,345,460,345,474,319,475	talso
211,460,234,460,234,476,212,476	there
11,476,11,459,40,461,40,477	only
295,461,317,459,318,474,296,475	,but
112,461,133,460,134,475,112,475	the
99,451,101,450,102,452,100,453	1
101,449,101,447,102,447,102,449	-
347,456,347,444,369,444,369,456	not
205,456,205,445,221,445,221,456	as
283,445,343,443,344,457,283,459	projection
13,456,13,443,57,443,57,456	natural
223,455,224,442,279,443,278,456	manifold
111,456,111,443,202,443,202,456	understandable
97,444,107,444,107,455,97,455	is
64,456,64,442,94,442,94,456	This
335,439,335,428,368,429,368,439	more
319,439,319,427,335,427,335,439	sas
12,442,12,427,40,427,40,442	very
99,440,99,426,149,426,149,440	subjects
