444,593,450,590,453,594,446,598	LC
558,600,559,580,600,582,600,600	express
396,600,396,579,435,580,435,600	set
353,581,393,581,394,600,353,600	are
141,576,199,576,200,600,141,600	will
502,600,503,575,555,578,554,600	The
204,577,250,576,250,600,204,600	and
37,599,37,575,132,576,132,600	weights
257,576,336,575,337,600,257,600	lallies
163,563,163,540,268,540,268,564	between
35,561,35,538,151,540,151,562	similarity
525,563,527,536,575,538,573,566	and
316,536,363,536,364,563,317,564	and
354,530,355,498,420,500,420,531	[24]
254,524,254,501,344,502,344,525	dataset
94,500,172,498,172,531,95,532	Vspoof
33,524,34,500,101,502,100,526	ASVs
553,526,553,499,600,499,600,526	calo
427,530,427,497,488,497,488,530	[25]
493,526,493,498,545,498,545,526	and
180,526,180,498,243,498,243,526	2021
355,464,433,463,433,486,355,486	model
171,467,343,464,344,486,171,489	representative
540,494,541,460,598,461,597,495	[22]
439,462,536,461,536,488,440,489	Rawnet
67,487,67,462,142,462,142,487	attack
31,466,59,462,63,486,34,490	to
337,449,337,432,430,432,430,449	success
558,448,558,430,597,431,596,449	em
32,430,80,429,80,450,33,451	can
437,427,493,426,493,452,437,453	rate.
251,426,328,425,328,450,251,451	attack
500,453,500,424,550,424,549,454	We
198,425,244,422,246,449,199,453	the
87,451,87,424,194,424,193,451	improve
488,415,488,393,596,393,596,416	aggregati
34,393,74,392,74,412,34,413	are
325,411,326,384,417,387,416,413	models,
211,387,314,387,314,410,211,410	different
176,411,176,389,200,389,200,411	in
81,411,81,386,168,387,168,412	similar
429,412,430,385,480,387,479,414	and
554,356,598,356,598,373,555,374	san
250,380,250,349,424,350,424,380	sub-segments
33,352,148,348,149,375,34,380	gradients
502,348,546,347,547,375,503,376	the
433,374,433,348,493,348,493,374	with
159,375,159,348,192,348,192,375	of
199,348,242,345,244,374,200,376	the
561,318,597,316,598,336,562,337	we
480,315,544,315,545,338,481,339	case,
267,313,364,310,365,340,268,342	regions
124,312,192,311,192,336,124,337	other
422,311,473,310,473,336,422,337	that
199,336,199,309,257,309,257,336	four
71,309,114,308,115,336,72,337	the
33,336,33,310,63,310,63,336	of
382,276,483,274,484,297,383,300	gradient
233,277,371,273,372,302,234,305	aggregated
529,296,529,274,596,274,596,296	similar
64,301,65,271,173,273,173,304	Suppose
179,300,179,272,225,272,225,300	the
34,235,183,234,184,261,34,262	respectively
472,213,472,210,475,210,475,213	-
472,211,472,208,475,208,475,211	I
468,218,468,203,490,203,490,218	as
348,197,451,192,452,218,350,223	gradient
200,199,335,196,336,221,200,223	aggregated
34,195,95,194,96,220,34,221	head
114,206,114,199,128,199,128,206	and
145,194,186,193,186,220,145,221	the
174,160,289,156,290,184,175,188	gradients
35,159,117,158,117,181,35,182	denote
452,157,498,155,499,181,452,183	and
124,156,169,156,169,183,125,184	the
539,182,539,156,586,156,586,182	and
300,180,301,158,397,161,396,183	OfA,B,
273,144,273,124,345,124,345,144	same.
420,146,420,122,479,122,479,146	ease
34,123,151,119,152,146,35,150	segments
166,122,207,120,208,143,167,145	are
497,141,497,123,517,123,517,141	of
218,147,218,118,263,118,263,147	the
358,145,358,117,412,117,411,146	For
534,144,534,117,575,117,575,144	the
573,105,574,86,600,88,600,106	va
305,116,305,81,354,81,354,116	lull
466,82,560,79,561,109,467,112	sample
362,107,363,79,412,81,411,109	and
417,79,464,78,465,107,418,109	the
128,109,129,76,222,80,221,113	>One
28,73,122,69,124,116,29,120	Clzi
136,70,136,57,154,57,154,70	Is
375,75,378,38,431,43,428,79	In]
196,75,199,37,269,42,266,80	120
434,37,529,35,531,78,435,81	S(
29,37,124,35,125,76,30,79	S(vid
