337,298,337,276,463,277,463,299	black-box
229,297,230,271,329,275,328,302	through
23,273,72,272,72,297,24,298	and
75,272,225,270,225,302,76,305	dself-splicedt
356,260,356,238,405,238,405,260	that
29,260,29,236,149,237,149,261	simulates
168,260,168,237,209,237,209,260	the
423,260,423,235,465,236,464,260	the
229,259,229,238,335,238,335,259	situation
192,205,238,203,239,221,192,223	can
2,222,2,202,54,202,54,222	rent
426,229,428,197,464,199,463,231	by
292,202,419,196,420,222,294,229	perceived
65,196,182,196,182,223,65,224	locations
249,198,283,198,284,223,250,224	be
72,182,72,180,74,180,74,182	the
195,175,195,171,196,171,196,175	the
64,162,132,161,132,189,64,190	stage
11,183,12,161,52,162,51,185	the
187,161,292,156,293,184,188,189	gradient
304,163,456,160,456,186,305,189	aggregation,
143,185,144,157,177,158,176,185	of
405,146,406,123,452,125,451,148	sub
36,148,36,124,63,124,63,148	at
357,146,358,122,398,123,397,147	the
75,144,75,122,181,123,181,145	different
191,152,191,120,309,122,309,153	positions
0,147,0,122,31,122,30,148	ed
316,147,316,120,350,120,350,147	of
225,113,225,88,293,88,293,114	stage,
315,86,354,86,354,108,315,109	the
108,108,109,85,149,86,149,109	the
37,85,94,85,94,110,37,110	after
0,109,0,87,23,87,23,109	at
366,85,462,85,463,109,366,109	marked
162,108,163,83,214,85,214,110	first
402,51,463,51,463,70,402,70	trace
126,71,126,47,182,47,182,71	blue
291,71,291,46,341,46,341,71	line
190,47,283,46,284,70,190,71	vertical
40,70,41,46,95,47,95,71	with
345,45,396,44,397,71,345,72	and
379,29,379,28,381,28,381,29	I
281,28,281,27,283,27,283,28	I
70,27,70,26,71,26,71,27	-
363,23,363,20,365,20,365,23	I
93,16,130,14,132,33,94,35	we
0,30,2,6,81,13,79,38	nding,
370,11,463,10,463,36,370,37	sample
271,35,271,9,343,9,343,35	select
136,34,137,9,262,10,262,35	arbitrarily
