567,298,567,280,599,280,599,298	su
477,298,477,275,550,275,550,298	attack
137,275,177,275,177,298,138,298	the
420,298,420,275,460,275,460,298	the
193,274,361,273,361,298,193,299	improvement
34,276,120,275,120,297,34,298	benefit
374,299,375,271,408,271,407,300	of
157,261,157,243,205,243,205,261	can
34,238,149,238,149,260,34,260	gradients
325,261,326,237,368,237,367,261	the
489,238,573,237,573,261,489,262	update
212,260,212,235,318,235,318,260	stabilize
376,235,480,234,481,261,376,262	gradient
385,204,494,202,494,225,385,227	suggests
511,223,511,199,560,199,560,223	that
65,222,65,198,117,198,117,222	The
225,201,370,200,370,221,225,223	observation
133,198,207,196,208,221,134,223	above
33,159,125,158,126,186,33,187	lengths
586,141,586,140,589,140,589,141	-
583,138,583,136,584,136,584,138	a
585,134,585,132,587,132,587,134	-
584,134,584,132,586,132,586,134	be
578,129,598,129,598,143,579,144	WI
418,126,454,126,455,145,418,145	on
291,146,292,121,407,124,406,149	gradients
35,145,35,120,102,120,102,145	value
466,142,466,120,558,121,558,143	models
188,119,277,119,277,143,188,143	similar
115,119,177,118,177,144,115,145	have
33,106,34,82,152,87,151,111	increases,
167,111,167,82,267,82,267,111	proving
279,105,279,84,327,84,327,105	that
334,109,335,84,509,86,509,111	sub-segments
521,82,576,82,576,106,521,106	with
570,51,600,50,600,68,570,69	nu
490,69,490,48,520,48,520,69	as
525,68,525,45,566,46,565,68	the
361,46,435,45,436,68,361,69	above
145,68,147,39,228,45,226,74	finally
441,44,485,42,487,69,442,71	0.6
33,46,138,42,139,67,34,71	gradient
233,68,233,41,352,41,351,68	stabilizes
593,21,593,20,594,20,594,21	I
579,21,579,19,580,19,580,21	the
305,11,346,11,347,31,305,32	are
584,16,585,15,587,15,586,17	the
573,26,576,9,600,14,597,30	O1
213,6,297,6,297,31,213,32	results
154,31,155,6,206,7,206,31	The
354,8,434,7,435,29,355,30	shown
474,36,476,4,525,7,523,39	Fig.
34,8,142,5,142,30,35,33	iteration.
442,32,442,5,473,5,473,32	in
544,11,552,9,554,17,545,19	I
