549,396,551,395,552,396,550,398	a
542,412,542,381,576,381,576,412	is
135,382,352,379,353,407,136,409	aggregated
59,410,59,376,120,377,120,410	the
368,405,368,374,528,376,528,407	gradient
1,413,2,371,50,372,49,414	of
450,319,580,315,581,349,450,352	shown
109,354,109,313,334,316,334,358	complexity
1,316,88,315,88,355,1,355	shest
365,351,365,312,425,312,424,352	As
1,255,75,254,76,293,2,295	ead
92,254,259,251,260,296,93,300	gradient
272,261,511,252,513,298,273,307	aggregation
529,294,529,252,575,252,575,294	of
53,217,53,215,55,215,55,217	the
502,232,502,201,536,201,536,232	is
555,233,556,197,600,199,600,234	ba
351,197,484,195,485,231,352,233	choice
241,232,242,195,333,197,332,234	This
8,234,10,192,67,196,65,237	fix
193,211,193,199,213,199,213,211	N
46,174,47,131,221,139,219,182	arbitrary
530,174,530,138,593,138,593,174	the
331,134,505,133,506,172,332,173	facilitate
249,175,249,135,305,135,305,175	To
226,113,227,74,374,80,372,119	starting
150,77,212,76,213,114,151,116	the
388,74,500,74,500,114,388,114	index
0,75,126,74,126,115,0,116	actice,
511,73,562,73,562,114,511,114	off
349,22,517,20,517,58,349,60	segment
186,24,317,16,319,51,188,59	speech
545,54,546,17,600,17,600,55	for
23,50,24,14,154,17,153,53	shared
