340,542,340,539,342,539,342,542	General
0,523,97,520,98,565,0,568	FORM
110,526,355,514,358,566,112,577	generation.
2,469,195,463,197,500,3,506	versatile
209,504,209,456,359,456,359,504	model
270,446,273,402,357,407,355,452	any
0,404,65,401,66,437,0,439	ive
80,436,80,400,258,400,258,436	without
271,374,271,332,359,332,359,374	that
8,345,8,340,11,340,11,345	I
47,331,256,330,256,375,47,376	vocoders
1,277,88,274,89,307,3,311	een
101,272,255,271,255,312,101,313	latents
271,265,358,262,359,308,273,311	and
61,208,355,198,356,236,62,245	architectural
18,181,19,149,102,150,102,182	can
115,147,358,139,359,181,117,189	synthesize
138,82,349,71,351,119,140,130	synthesis.
0,118,0,74,125,74,125,118	audio
