511,592,512,546,598,548,597,594	synt
415,581,415,550,502,550,502,581	can
2,590,2,544,295,544,295,590	utoregressive
309,581,310,540,406,541,406,582	thus
554,511,554,508,558,508,558,511	in
534,526,543,478,600,489,594,537	sy
295,517,297,484,383,487,382,520	raw
399,475,526,473,527,516,400,518	audio
56,517,56,473,202,474,201,518	model
0,520,0,475,47,475,47,520	ici
211,473,285,471,287,519,212,521	Ifori
436,319,595,316,596,354,437,357	networl
337,353,338,312,426,314,424,356	two
82,352,85,307,261,317,258,363	training
1,354,1,311,71,312,71,355	int
272,356,272,309,329,309,329,356	oft
64,286,64,283,67,283,67,286	the
69,277,69,273,72,273,72,277	the
69,274,69,271,72,271,72,274	the
38,274,38,271,41,271,41,274	I
69,272,69,268,72,268,72,272	the
28,268,38,268,38,273,28,273	and
17,265,37,261,38,270,19,274	21
396,291,397,248,472,249,472,292	the
483,249,595,246,596,291,484,293	chall
236,290,236,247,384,247,384,290	avoids
115,291,116,246,222,247,222,292	This
0,296,0,248,82,251,81,299	14)).
19,227,19,185,95,186,94,228	the
493,184,597,177,600,229,496,236	(Kin
363,221,364,182,477,186,476,225	VAE
101,185,291,182,292,228,101,231	encoder
300,230,301,182,356,184,355,232	in
268,165,268,131,333,131,333,165	no
4,164,4,121,240,121,240,164	Therefore,
353,124,587,119,587,160,353,166	additional
143,62,323,58,324,101,144,105	process
341,59,521,58,521,98,341,99	without
1,106,4,53,132,58,130,112	ding)
536,57,598,56,598,102,537,103	lea
