19,552,101,549,102,582,20,585	can
117,550,358,540,360,581,118,590	synthesize
137,480,351,469,354,519,140,530	synthesis.
1,475,126,474,127,518,1,519	audio
37,356,37,315,244,315,244,356	networks,
272,309,358,305,360,354,274,358	and
1,290,2,248,73,249,72,291	the
85,296,86,242,358,245,358,299	challenging
179,221,179,219,181,219,181,221	I
94,234,97,181,308,192,305,246	(Kingma
0,225,0,184,79,184,79,225	AE
208,126,354,122,355,160,208,163	neural
7,119,191,117,192,166,7,168	ditional
2,101,2,59,123,59,123,101	thout
135,57,357,55,357,98,136,100	learnable
