3,527,162,524,163,565,4,567	signals
366,521,600,518,600,565,367,568	conditional
251,521,355,520,356,564,252,566	both
170,521,243,517,246,567,173,571	for
0,502,0,460,182,462,181,504	n-based
442,459,595,456,596,505,443,508	high-fi
188,502,192,447,351,457,347,512	losses)
361,503,361,452,437,453,436,504	fork
206,438,206,405,308,407,307,440	uses
27,411,27,409,30,409,30,411	I
24,412,24,409,28,409,28,412	:
362,442,364,394,507,398,505,446	single
27,409,27,406,30,406,30,409	a
24,406,33,406,33,413,24,413	and
6,415,6,404,17,404,17,415	I
66,442,72,387,149,396,142,451	III)
517,393,598,391,599,439,518,441	EL
86,333,134,332,136,376,87,378	et
0,381,0,327,79,333,75,387	inge
420,372,420,329,523,330,523,373	This
146,332,206,330,207,375,147,377	al.
532,374,533,329,600,330,600,375	lea
218,382,219,326,382,330,381,386	(2020).
470,269,582,268,582,308,470,308	need
0,311,0,266,102,268,101,313	ased
314,269,456,267,456,307,314,308	which
110,309,110,269,285,269,285,309	models,
258,239,279,232,283,245,261,251	i)
391,235,391,232,395,232,395,235	I
391,233,391,230,395,230,395,233	the
3,209,189,199,191,244,6,255	parallel
420,205,592,199,594,249,422,255	Aexible
363,243,366,206,405,209,403,246	is
251,213,258,213,258,218,251,218	the
22,184,22,149,121,149,121,184	over
356,181,356,139,481,140,481,182	work:
133,140,336,134,338,182,134,188	previous
0,119,3,81,64,86,60,124	ve,
544,129,548,80,600,85,600,134	Apr
334,75,535,72,535,119,335,121	diffusion
125,83,315,75,316,112,126,120	versatile
173,8,401,5,401,22,174,25	synchics
45,17,46,0,182,3,181,21	auguio
