18,214,19,157,311,159,310,216	information.
290,121,290,120,291,120,291,121	the
291,120,291,119,292,119,292,120	I
2,116,173,108,175,145,3,153	quences
304,144,307,104,355,107,353,147	Ito
183,102,306,102,306,145,183,146	need
247,49,343,47,344,80,248,81	sam
0,80,0,49,42,49,42,80	or
191,53,192,53,193,54,192,55	I
190,54,190,53,192,53,192,54	I
47,85,48,30,240,31,240,87	rinferiors
341,15,344,8,353,12,350,19	6
11,7,11,6,12,6,12,7	the
8,7,13,3,15,6,10,10	the
4,7,4,5,9,5,9,7	-
57,14,57,1,227,3,227,17	house
