32,585,32,557,150,559,150,587	umar
160,551,215,549,216,594,161,595	ret
309,589,310,546,436,548,435,591	2019;
454,546,592,542,593,585,455,588	Binko
224,545,297,543,298,590,225,592	al.
459,535,462,481,600,488,597,542	(Peng
0,526,1,478,126,484,124,532	VAE)
139,481,281,480,282,527,140,528	based
293,524,294,479,443,481,442,526	model
0,420,89,417,91,461,0,464	dels
272,469,275,417,343,422,339,474	lby
104,460,104,420,266,421,265,461	trained
355,419,597,417,597,461,355,462	distillation
21,359,141,356,142,398,23,401	other
410,396,411,357,580,362,579,401	models,
159,354,397,349,398,396,160,401	waveform
437,294,597,289,599,336,438,342	superic
0,338,0,288,93,296,88,346	ning
108,289,322,287,323,341,108,343	objective
335,336,335,289,429,290,428,337	and
62,234,110,232,112,273,63,274	et
475,273,475,229,526,229,526,273	let
356,226,466,225,466,270,356,271	Kim
207,274,209,221,340,224,339,277	2020;
121,271,123,221,197,225,194,275	al.
536,227,593,225,595,270,538,272	al.
31,181,31,177,35,177,35,181	I
23,179,26,176,28,179,26,181	I
21,179,24,176,26,179,23,181	I
23,177,26,174,28,176,26,179	I
21,177,24,174,26,176,23,179	I
417,167,467,166,468,208,418,209	et
82,205,83,164,404,171,403,212	Kalchbrenner
478,163,557,158,560,209,481,214	al.
11,202,18,162,55,168,49,208	16;
211,142,212,100,341,101,341,143	work,
3,103,193,101,193,140,3,143	previous
359,100,595,99,595,142,359,143	likelihood
0,74,0,45,38,47,36,76	I
55,78,55,35,232,35,231,79	models
380,34,597,27,599,81,382,88	produced
247,37,364,34,366,79,248,82	have
