524,593,524,581,580,584,579,597	enlarging
273,581,310,581,310,600,273,600	(e.g.,5
228,595,228,582,273,583,273,595	context
128,596,128,583,147,583,147,596	son
445,597,445,580,507,582,507,599	nadvantage
427,595,427,583,445,583,445,595	santic
183,595,184,582,226,583,226,596	shorter
43,595,43,582,76,582,76,595	tends
32,584,41,584,41,594,32,594	it
582,596,582,582,600,582,600,596	the
507,582,522,582,522,595,507,595	ein
403,595,403,581,428,582,427,596	has:
345,594,345,581,403,581,403,594	diffWave
307,597,307,581,342,581,342,597	500).
92,594,93,581,128,583,127,596	focus
77,582,92,582,92,595,77,595	to
7,595,7,582,31,582,31,595	and
147,581,182,580,182,594,147,594	much
217,580,217,566,272,566,272,580	receptive
84,566,115,565,115,578,85,579	even
549,567,597,566,597,577,549,577	WaveNer
328,580,329,564,363,567,362,583	c(ca,
183,566,216,565,217,580,183,581	large
126,578,126,565,184,567,183,579	moderate
118,568,123,568,123,577,118,577	a
6,567,58,565,59,579,7,581	suggests
532,579,532,566,546,566,546,579	in
500,580,500,564,532,564,532,580	usedi
436,580,436,564,498,565,497,580	effectively
413,579,413,565,435,565,435,579	not
362,580,362,564,399,564,399,580	6139)
302,580,302,564,329,564,329,580	size
58,580,58,564,84,564,84,580	that
398,578,400,563,414,565,412,580	is
273,580,273,563,303,563,303,580	fields
180,564,180,549,249,549,249,564	particularly
532,563,532,550,546,550,546,563	et
250,549,277,549,277,563,250,563	true
166,563,166,550,179,550,179,563	sispers
5,565,5,549,43,549,43,565	larger
493,563,493,548,530,548,530,563	(Shen
458,563,458,547,491,548,491,564	study
403,550,456,548,457,562,404,565	previous
299,561,299,548,355,549,355,562	WaveNet.
91,564,91,548,133,548,133,564	cycles.
567,563,567,548,598,548,598,563	2018
544,564,544,548,567,548,567,564	tal.,
375,564,375,547,404,547,404,564	fact
277,563,277,548,298,548,298,563	for
136,563,136,547,166,547,166,563	This
44,562,44,547,91,548,91,563	dilation
359,547,375,547,375,564,359,564	In
578,546,578,534,600,534,600,546	and
295,547,295,534,316,534,316,547	we
235,545,236,533,294,534,294,547	;however,
5,533,46,533,46,548,5,549	layers
537,547,537,532,577,532,577,547	layers
189,533,235,533,235,547,189,548	cycles;
493,547,493,532,537,532,537,547	deeper
414,550,415,530,460,530,460,551	dquality
356,532,415,531,415,547,356,548	degraded
316,547,316,532,355,532,355,547	found
141,532,187,532,188,546,141,546	dilation
94,547,94,532,123,532,123,547	size
46,548,46,532,72,532,72,548	sand
462,548,462,530,493,530,493,548	with
122,547,122,531,140,531,140,547	eofo
71,530,96,530,96,547,71,547	DTHES
37,521,49,518,51,526,39,529	the
164,518,217,517,217,530,164,531	amounts
589,528,589,519,598,519,598,528	01
462,529,462,517,516,517,516,530	increase
539,529,539,516,587,517,586,530	number
394,529,394,517,417,517,417,529	can
328,531,328,516,367,516,367,531	audio.
12,519,37,518,37,528,13,529	[1,2,
418,515,462,514,463,530,418,530	furtheri
233,531,233,515,270,515,270,531	0.385
217,530,217,516,233,516,233,530	to
286,530,286,514,329,515,329,530	f16kHz
130,530,132,514,163,517,162,533	onlyard
515,530,515,515,538,515,538,530	the
370,531,370,514,395,514,395,531	We
267,530,267,515,285,515,285,530	sof
102,530,102,514,134,514,134,530	This
66,532,66,513,103,513,103,532	512)
342,512,342,503,351,503,351,512	T
480,504,485,503,487,509,483,511	3
568,515,568,499,600,499,600,515	cycle
461,509,461,502,469,502,469,509	a
314,514,314,500,341,500,341,514	size
211,512,211,502,219,502,219,512	a
108,499,183,499,183,513,108,513	convolution
516,513,516,499,565,500,565,513	dilation
221,500,279,499,280,513,221,514	receptive
183,499,208,499,208,513,183,513	has
8,512,8,499,60,500,60,513	30-layer
488,514,488,498,516,498,516,514	and
412,499,443,498,444,513,412,514	with
373,513,373,499,411,499,411,513	6139
283,513,283,499,312,499,312,513	field
61,513,62,498,107,499,107,514	dilated
444,512,446,499,457,500,456,513	k
548,484,599,482,600,496,549,497	rexample
161,495,161,485,171,485,171,495	k
121,497,121,483,159,483,159,497	where
107,494,110,484,121,487,117,498	1,
486,482,524,482,525,499,487,499	layer.
438,496,438,483,486,483,486,496	residual
247,498,247,482,275,482,275,498	size
208,496,208,483,246,483,246,496	kernel
35,501,35,482,106,482,106,501	1)ELDIT
524,498,524,482,549,482,549,498	For
398,484,412,482,414,496,400,498	in
352,495,352,482,397,483,397,495	dilation
273,483,299,482,299,497,273,498	and
7,484,29,483,30,495,8,497	(k-
411,498,411,481,439,481,439,498	with
328,497,328,482,350,482,350,497	the
314,497,314,482,329,482,329,497	jist
299,498,299,483,314,483,314,498	ldi
185,497,186,481,208,482,207,498	the
170,495,173,481,187,484,183,499	is
526,481,527,468,544,470,543,483	up
547,482,547,468,567,468,567,482	to:
511,479,511,469,522,469,522,479	is
465,482,465,467,508,467,508,482	output
298,479,298,467,355,468,355,480	receptive
150,479,150,467,223,467,223,479	convolution
226,466,268,465,269,480,226,481	layers,
47,467,80,466,80,480,47,481	stack
5,481,5,466,31,466,31,481	For
391,481,391,465,420,465,420,481	size
102,479,102,465,147,465,146,480	dilated
421,481,421,465,440,465,440,481	of
273,481,273,465,296,465,296,481	the
82,481,82,465,100,465,100,481	of
439,465,463,464,464,481,440,482	the
359,480,359,464,390,465,390,481	field
165,450,170,443,176,449,172,455	sa
131,457,132,441,166,442,165,458	sposts
505,453,505,440,584,441,584,454	convolutions.
376,454,376,441,406,441,406,455	cven
