114,217,183,214,183,228,115,230	lgeneration.
29,215,112,215,112,228,29,228	unconditional
7,215,27,214,27,228,8,229	for
0,213,0,201,36,201,36,213	verse
37,201,87,200,88,213,37,214	process,
113,213,113,198,171,199,171,214	receptive
173,198,202,198,202,211,173,211	field
90,198,112,196,114,212,91,214	the
27,195,27,184,44,184,44,195	san
124,196,124,183,180,183,180,196	enlarging
47,194,47,182,106,184,105,196	advantage
4,183,26,182,26,195,4,196	has
182,182,203,181,203,194,183,195	the
108,196,108,181,123,181,123,196	invent
14,178,14,166,35,166,35,178	not
37,179,37,166,98,166,98,179	effectively
2,177,2,168,11,168,11,177	is
148,178,148,165,203,165,203,178	waveNet
101,166,131,165,131,178,102,179	used
132,166,145,165,146,177,133,179	in
94,149,129,149,130,164,95,164	(Shen
130,150,145,149,146,163,130,163	net
5,150,56,148,56,163,6,164	previous
167,163,168,148,204,149,203,164	2018)
57,163,58,148,92,149,91,164	study
145,162,145,149,166,149,166,162	tal.,
93,147,94,132,136,133,136,148	deeper
16,146,17,132,60,133,59,147	quality
138,147,138,132,176,132,176,147	layers
63,133,92,133,93,146,63,146	with
178,132,202,131,203,145,179,146	and
0,135,14,132,17,144,0,147	edg
0,119,18,119,18,130,0,130	can
139,128,139,117,185,118,185,129	number
64,128,65,117,114,117,114,128	increase
20,128,20,117,61,117,61,128	further
116,129,116,116,137,116,137,129	the
186,116,203,115,204,130,187,130	rof
13,101,42,100,43,112,14,113	with
168,115,168,99,203,99,203,115	cycle
118,113,118,99,165,99,165,113	dilation
91,113,91,99,114,99,114,113	and
0,94,1,86,11,86,10,95	at
40,85,86,84,86,95,40,96	residual
146,99,147,82,203,84,203,101	example,
124,83,148,82,148,97,125,97	For
89,97,89,82,122,83,122,98	llayer.
14,83,37,82,38,96,14,97	ti-thing
127,82,127,68,146,69,145,82	up
147,82,147,68,167,68,167,82	to:
120,72,120,71,121,71,121,72	I
66,80,66,67,106,67,106,80	output
41,80,41,67,63,67,63,80	the
0,67,19,67,19,80,0,80	ize
21,65,39,65,40,80,21,80	of
105,42,183,42,183,54,105,55	convolutions.
62,42,102,42,102,53,62,53	dilated
37,42,59,41,60,55,38,55	the
9,41,36,40,37,54,9,55	with
55,39,55,27,70,27,70,39	sas
149,39,150,25,191,27,190,41	Figure
72,36,72,26,132,26,132,37	illustrated
16,38,16,25,53,26,53,38	inputs
0,38,0,25,14,25,14,38	all
134,25,150,24,150,38,135,39	in
113,9,137,9,137,22,113,22	and
139,23,139,9,202,9,202,23	right-most
66,22,66,9,88,9,88,22	the
38,21,38,8,65,9,65,22	thus
89,21,89,8,111,8,111,21	left
13,23,13,8,37,8,36,23	2L,
123,0,201,0,201,4,123,4	Organization:
0,4,0,0,22,0,22,4	ray
