93,492,95,426,191,429,189,495	for
16,386,16,385,18,385,18,386	the
71,368,71,366,73,366,73,368	I
69,368,69,366,70,366,70,368	-
0,338,246,335,247,413,0,416	bjective
163,268,240,264,241,304,165,307	on
117,265,117,264,119,264,119,265	the
115,265,115,264,117,264,117,265	the
0,307,0,240,153,241,152,309	limit
0,214,0,171,107,171,107,214	10n
128,215,128,156,246,157,245,216	that
158,116,158,111,160,111,160,116	-
138,112,138,110,140,110,140,112	the
139,111,139,109,141,109,141,111	the
141,109,142,108,143,109,142,110	the
137,95,142,95,142,96,137,96	work
64,137,65,68,247,71,246,140	target
210,16,210,15,211,15,211,16	the
162,16,162,15,163,15,163,16	I
209,16,209,13,211,13,211,16	the
163,14,163,12,165,12,165,14	I
162,14,162,12,163,12,163,14	I
202,11,202,10,204,10,204,11	I
201,11,201,10,202,10,202,11	I
195,14,195,10,200,10,200,14	I
3,26,3,2,172,3,172,27	vincil
198,18,198,5,214,5,214,18	I
