201,583,202,542,471,548,470,590	concerning
496,545,599,540,600,586,498,590	give
139,587,147,539,197,546,189,595	is
1,584,2,539,131,542,130,586	vhich
6,487,149,481,150,505,7,511	known
420,471,596,469,597,521,420,522	potenti
328,513,328,468,407,468,407,513	the
178,512,178,469,308,469,308,512	about
333,440,333,394,413,394,413,440	the
132,393,324,388,326,444,134,449	Ipropels
422,392,550,390,551,437,422,439	trend
35,440,35,390,132,391,131,441	and
287,370,289,317,457,324,455,378	greatly
474,374,475,319,597,321,596,375	simp
3,366,5,319,82,322,81,368	sks,
122,360,124,316,264,321,263,365	which
509,292,510,256,600,258,599,294	sear
0,254,52,252,53,291,0,293	m
165,297,165,250,496,250,496,297	automatically
59,291,59,247,154,247,154,291	that
403,183,466,182,466,220,403,221	an
484,181,598,180,598,219,484,219	eme
132,222,133,176,383,176,383,223	represents
0,227,0,165,114,167,112,229	AS)
