71,543,193,542,194,570,72,571	objective
0,571,1,541,63,544,61,574	wing
7,507,117,505,117,532,8,534	searches
346,507,418,507,418,530,347,531	DNN
198,511,336,508,337,529,199,532	performant
123,533,123,503,166,503,166,533	for
334,471,416,470,416,492,334,494	search
165,470,254,469,254,492,165,493	models
47,497,47,468,152,468,152,497	possible
264,499,264,465,327,465,327,499	(i.e.
9,495,11,466,41,468,39,497	of
1,457,1,432,76,432,76,457	ataset,
307,432,416,430,416,455,308,457	function
247,430,300,429,300,456,247,456	loss
201,431,242,429,244,455,202,457	the
162,429,195,428,196,457,163,459	be
2,418,2,396,88,396,88,418	ectures
222,394,285,393,285,417,222,418	tasks
290,391,358,390,358,423,290,424	[18]
144,392,215,391,216,420,144,421	given
365,392,417,390,419,419,366,421	For-
94,389,139,389,140,418,94,419	for
8,373,8,370,10,370,10,373	I
6,373,6,370,8,370,8,373	the
1,378,2,360,21,361,21,379	re
311,359,414,357,415,376,311,379	searches
30,381,30,357,112,357,112,381	search
122,355,209,354,210,384,122,386	(NAS),
222,355,299,351,300,378,224,382	which
107,343,107,322,143,322,143,343	on
152,342,152,319,201,320,201,342	one
213,318,312,317,312,342,213,343	primary
28,341,28,318,96,318,96,342	focus
325,317,379,316,380,342,326,343	task
388,341,389,315,420,316,420,342	of
307,296,307,288,317,288,317,296	in
235,303,235,282,290,282,290,303	over
22,302,23,281,98,282,98,303	vector
329,302,329,279,415,281,415,304	classes.
105,279,228,276,229,309,106,311	(simplex)
85,244,180,243,180,264,85,265	number
228,264,229,240,317,241,316,265	classes
340,266,340,239,418,239,418,266	Given
34,266,34,240,76,240,76,266	the
0,241,27,240,28,265,0,266	ad
190,265,190,240,219,240,219,265	of
24,218,24,216,27,216,27,218	I
229,224,229,210,244,210,244,224	n
106,212,106,210,109,210,109,212	I
334,225,334,202,417,203,417,226	denote
144,204,222,201,223,227,145,229	where
302,203,328,202,329,228,303,229	Imc
251,202,298,200,299,226,252,228	and
96,206,134,200,138,225,100,230	Sm
19,225,20,203,49,205,48,226	Rn
231,195,231,167,417,167,417,195	(parameterized
119,165,189,164,189,191,119,191	DNN
15,165,89,163,90,188,16,190	which
400,146,400,143,402,143,402,146	a
399,143,405,142,405,145,399,146	I
140,124,249,123,250,155,140,156	complex
2,127,94,126,94,150,2,150	ractions
256,151,256,126,320,126,320,151	data
334,127,378,125,378,151,335,153	We
104,152,104,126,136,126,136,152	of
355,91,425,90,425,112,355,113	mod-
51,91,166,89,166,115,51,117	represent
195,90,257,88,258,114,196,116	class
300,114,300,88,349,88,349,114	ML
0,119,0,85,46,87,45,121	Ns)r
264,113,264,88,297,88,297,114	soft
1,28,67,25,68,51,3,54	ture
75,51,75,25,186,26,186,53	search
