27,594,27,574,79,574,79,595	query
0,592,0,575,25,576,25,593	OX
171,591,171,571,243,573,242,593	Notably
83,590,83,572,164,572,164,590	interface
287,572,317,569,319,591,288,593	dif
248,572,286,568,288,591,250,595	itis
272,567,273,546,322,547,321,568	prob-
167,564,167,547,221,548,220,564	model
5,562,5,547,64,548,64,563	similar
70,562,71,548,87,549,86,563	to
107,563,107,547,161,547,161,564	victim
240,546,272,545,272,566,241,567	f'viap
223,540,223,522,317,523,317,542	(parameter-
1,538,1,522,39,523,39,539	truct
141,539,141,521,196,521,196,539	model
60,521,135,519,135,538,60,540	replicate
172,515,172,496,240,496,240,515	stealing
289,514,289,495,319,495,319,514	the
244,495,287,494,287,516,244,516	[441,
60,511,60,496,168,498,167,513	functionality
0,478,0,460,39,461,39,478	ives.
158,455,158,436,298,437,298,455	hyper-parameter
73,449,73,439,78,439,77,449	I
86,452,86,435,118,435,118,452	and
122,452,122,433,151,433,151,452	the
24,433,60,432,61,451,24,452	into
0,434,22,433,23,452,0,454	edi
162,412,227,412,227,427,162,427	ensures
117,426,117,410,158,410,158,426	term
50,410,112,409,112,426,50,427	second
261,429,261,408,319,409,319,430	trigger
232,409,257,408,257,427,232,428	all
18,410,48,407,49,425,19,427	the
104,384,176,383,177,401,105,402	enforces
58,400,58,383,99,383,99,400	term
212,401,212,382,259,382,259,401	clean
263,402,264,381,318,383,317,404	inputs
18,382,54,381,54,400,19,401	first
183,402,183,381,209,382,209,403	all
268,357,318,356,319,377,269,379	patch
102,375,102,357,130,357,130,375	set
157,378,159,355,205,359,204,382	(e.g.,
31,357,98,356,98,373,31,373	feasible
235,356,264,355,265,375,236,376	5x3
200,359,232,356,234,373,202,376	,a3
116,293,118,293,118,300,116,300	I
115,300,115,292,117,292,117,300	I
1,285,94,284,94,312,1,313	[lfflick)
93,306,94,279,251,283,250,311	ANTIFORATION
66,250,66,230,149,230,149,250	objective
0,249,0,229,61,231,60,251	lowing
1,222,1,205,49,205,49,222	erized
166,204,255,204,255,221,166,222	associated
260,224,261,203,320,206,319,227	trigger
104,222,104,204,136,204,136,222	and
51,226,52,203,76,204,76,227	dby
138,203,163,202,164,223,139,224	dits
88,207,88,206,90,206,90,207	I
236,198,236,181,317,183,317,200	generates
1,197,3,182,21,184,19,199	byt
54,198,55,179,140,181,140,200	adversary
180,180,231,179,232,195,180,196	attack
145,179,175,178,175,195,146,196	,the
22,179,52,178,53,196,23,198	the
124,168,126,149,192,154,191,172	training
88,171,88,152,118,152,118,171	the
242,170,243,151,277,153,276,172	and
198,152,236,151,237,170,199,171	data
58,152,83,150,84,170,58,171	be
294,170,294,150,319,150,319,170	be
111,145,111,128,264,128,264,145	trigger-embedded
36,144,36,126,102,128,102,146	feeding
4,146,6,126,31,128,29,148	by
271,146,272,125,319,125,319,147	input
161,118,162,101,244,103,244,119	adversary
251,118,251,100,317,100,317,118	invokes
77,120,77,100,121,100,121,120	time
2,102,70,100,70,117,2,119	ference
126,100,157,99,158,119,126,120	the
213,91,213,78,317,78,317,91	downstream
179,75,210,74,210,93,179,94	the
114,74,156,73,156,92,114,93	used
38,92,39,74,91,75,90,93	which
92,93,92,75,111,75,111,93	his
158,75,176,74,178,92,159,93	lint
0,70,0,51,61,52,61,71	versary
282,68,283,51,321,53,320,70	sen-
64,69,65,48,118,50,117,71	forges
273,59,273,53,275,53,275,59	is
140,69,140,48,191,48,191,69	trojan
196,66,197,47,251,48,251,67	model
209,25,299,25,299,42,210,43	perturbing
23,42,24,24,86,25,85,43	During
172,23,204,23,204,43,173,44	via
93,41,94,24,162,27,161,43	training,
