171,543,263,541,263,560,172,562	optimizing
390,542,474,541,474,560,390,561	objective
301,561,301,541,385,543,384,562	following
268,542,298,541,299,560,269,561	the
141,564,143,541,166,542,165,565	by
77,541,138,540,138,564,78,565	(x+8)
23,561,23,540,75,541,75,562	crafts
371,535,371,516,457,518,457,538	adversary
149,537,149,516,201,516,200,538	target
25,537,25,516,82,516,82,537	letting
249,533,249,515,311,516,311,533	desired
202,515,247,515,247,534,202,535	tclass
118,534,118,515,148,515,148,534	the
493,534,493,513,549,514,548,535	eattack
339,515,370,513,371,534,340,536	YTHE
314,515,338,515,338,537,314,537	lby
92,515,118,514,119,535,93,536	tbet
461,515,492,513,493,534,462,536	,thea
375,500,378,497,380,499,377,502	1
373,506,373,495,390,495,390,506	in
490,508,490,488,549,490,548,511	attack
413,491,486,489,486,510,414,513	targeted
25,509,25,491,81,491,81,509	model
226,513,226,488,272,488,272,513	121]
131,491,221,489,221,508,131,509	misbehave
281,509,281,487,363,489,363,510	Formally
104,506,107,489,126,491,123,508	to
24,482,24,468,57,468,57,482	one
408,482,409,466,458,467,458,482	cause
251,468,353,466,353,481,251,482	perturbation
495,486,495,464,548,464,548,486	target
389,468,399,468,399,473,389,473	the
125,483,125,465,243,465,243,483	imperceptible
79,482,79,462,119,462,119,482	with
461,484,461,461,492,461,492,484	the
25,441,107,440,107,456,25,457	generates
111,457,111,441,135,441,135,457	an
498,461,498,439,546,440,546,461	begin
385,457,386,435,477,439,476,461	modifying
238,460,239,437,287,439,286,461	input
140,441,232,439,232,453,141,456	adversarial
463,430,463,412,546,414,545,432	adversary
164,429,164,412,232,413,231,430	evasion
374,412,418,411,419,431,374,432	time
288,413,369,412,369,428,288,429	inference
44,414,155,412,155,427,44,429	Adversarial
256,412,280,410,282,428,257,431	At
425,412,457,410,459,430,426,432	the
189,401,189,381,244,384,243,403	major
101,398,101,379,185,382,184,402	following
246,400,246,380,312,380,312,400	attacks
67,401,68,380,100,381,99,402	thef
25,402,25,379,66,379,66,402	light
89,373,89,358,108,358,108,373	Blue
25,356,85,356,86,373,25,373	attacks
349,355,412,354,413,375,350,376	phases.
264,356,346,356,346,372,264,373	inference
154,374,154,355,222,356,222,376	training
503,376,503,354,544,355,544,376	high-
227,375,227,355,261,355,261,375	and
111,355,150,355,151,373,112,373	both
472,374,472,355,500,355,500,374	we
417,375,417,352,464,352,464,375	Here
422,346,423,332,440,334,439,348	to
462,349,463,330,520,331,520,351	variety
325,347,325,331,416,331,416,347	vulnerable
289,331,320,330,320,348,290,349	are
222,346,222,330,286,330,286,346	models
128,329,163,328,164,348,129,349	that
64,329,125,329,125,347,64,348	known
167,329,217,328,218,347,168,348	DNN
23,349,23,328,62,328,62,349	Itis
523,349,525,326,550,329,547,351	yof
166,303,167,284,307,288,307,307	Vulnerability
81,285,159,284,160,305,81,307	Attack
25,307,25,281,59,281,59,307	2.2
259,241,259,224,322,225,322,242	exactly
175,241,175,223,254,223,254,242	robjective
24,243,24,222,90,222,90,244	solving
125,240,125,222,172,222,172,240	inner
92,222,122,221,123,240,92,241	their
243,197,316,196,316,218,243,219	gradient
144,217,144,198,239,198,239,218	>single-steps
25,197,137,195,137,213,25,216	optimization,
408,198,472,196,473,215,408,216	applied
318,214,318,195,384,195,384,214	descent
474,197,494,195,496,214,476,216	lto
498,213,498,193,547,193,547,213	avoid
388,213,389,196,404,197,403,214	is
396,189,396,172,434,172,434,189	COST
67,189,67,173,169,173,169,189	respectively
22,172,61,170,62,191,23,193	ters,
490,189,490,171,547,171,547,189	nested
299,190,300,171,392,172,391,191	prohibitive
205,189,205,170,265,170,265,189	handle
436,189,436,170,458,170,458,189	toft
459,189,459,169,487,169,487,189	fthe
176,190,178,168,207,169,206,191	Tohi
267,189,267,168,297,168,297,189	the
479,147,551,146,552,165,479,166	parame-
182,162,182,145,240,146,240,163	denote
419,163,419,144,474,144,474,163	model
278,159,278,145,377,146,377,159	architecture
242,144,272,143,272,162,242,163	the
128,163,128,144,161,144,161,163	and
382,143,415,142,416,161,382,162	and
63,168,63,141,123,141,123,168	taina
362,136,362,120,446,120,446,136	validation
24,136,24,120,76,120,76,136	where
251,139,251,119,318,119,318,139	training
186,138,186,120,217,120,217,138	area
512,140,512,118,548,118,548,140	>and
450,136,451,116,508,118,507,139	losses
322,120,357,118,358,137,323,139	and
116,136,116,118,150,118,150,136	and
80,140,82,116,116,118,114,142	Limit
151,138,155,114,189,119,186,143	Lval
219,137,219,117,249,117,249,137	the
349,64,412,64,413,81,349,82	argmin
223,83,223,62,257,62,257,83	S.t.
44,79,44,63,80,63,80,79	min
117,61,207,60,208,85,117,86	(Other
86,81,88,59,121,63,119,85	Lvai
418,61,502,60,502,85,419,86	Lines:
272,85,272,60,339,60,339,85	-(a)
523,64,544,62,544,75,524,77	(4)
26,31,26,15,104,15,104,31	objective
110,29,110,15,184,15,183,29	function:
149,5,149,0,174,0,173,6	the
53,7,53,0,81,0,81,7	the
360,4,360,0,430,0,430,6	convert
345,4,345,0,358,0,358,4	the
318,4,318,0,344,0,344,4	was
87,7,87,0,147,0,146,9	starters
171,6,171,0,213,0,213,8	server
