478,592,478,574,583,576,583,594	membership
342,576,428,574,428,591,343,593	inference
219,594,219,576,335,576,335,594	Membership
452,588,452,577,468,577,468,588	Tn
523,559,523,543,597,543,597,559	construct
3,542,74,541,74,561,4,563	bjective:
421,559,421,543,441,543,441,559	lor
349,557,350,542,416,543,415,558	random
301,560,303,540,347,543,346,562	(e.g.s
445,560,445,541,519,542,519,561	radaptive
196,558,196,541,296,541,296,558	constructed
0,537,0,518,60,519,60,539	ersary,
492,532,492,515,554,517,554,533	attacks
217,516,296,514,297,531,217,533	Different
417,534,417,513,488,515,487,536	stealing
93,534,93,514,148,515,148,535	attack
558,533,558,515,599,515,599,533	diffe
304,531,304,515,411,516,411,532	functionality
61,516,92,512,94,532,63,536	thea
90,510,90,490,148,490,148,510	attack
14,491,86,488,87,509,15,512	targeted
8,467,57,466,58,482,8,482	cause
97,466,147,465,147,485,97,486	target
62,483,62,464,92,464,92,483	the
583,462,583,459,586,459,586,462	I
358,466,358,448,389,448,389,466	argn
384,465,384,448,421,448,421,465	gminl
280,449,309,448,310,465,281,466	s.t.
423,470,424,447,519,452,518,475	Marchael
520,471,520,442,600,442,600,471	References:
97,461,97,438,147,438,147,461	begin
2,459,2,436,78,439,77,461	odifying
322,416,362,416,362,430,322,430	ExD
62,432,62,413,146,414,146,433	adversary
0,420,15,413,21,430,4,437	ie,
273,429,273,411,308,411,308,429	min
26,412,57,411,57,431,27,431	the
409,432,409,407,491,409,490,434	(x),fr)
369,427,372,406,405,411,401,433	L(Ford
71,374,72,355,100,356,99,375	PLE
407,356,491,355,491,372,407,373	objective:
103,374,104,351,143,354,141,377	high-
317,372,317,352,402,355,401,375	following
197,356,280,353,281,370,197,373	optimizes
17,354,65,352,66,375,18,377	Here
284,373,284,352,316,352,316,373	thef
61,348,62,327,121,329,120,351	variety
4,337,4,333,7,333,7,337	I
196,329,297,328,297,346,196,347	constrained
366,345,366,328,434,329,434,346	number
534,330,554,329,555,345,535,346	to
466,349,466,326,531,327,530,351	queries
300,329,326,327,329,350,302,353	dby
124,349,126,327,149,329,147,351	of
438,348,438,327,462,327,462,348	rof
559,346,559,325,585,325,585,346	be
330,326,361,324,363,346,331,349	the
469,306,525,305,525,322,469,323	access
411,304,464,303,464,325,412,326	query
581,321,581,306,600,306,600,321	an
274,319,274,305,287,305,287,319	of
197,302,267,302,267,323,198,324	labeling
363,321,365,299,406,302,405,324	only
328,322,328,299,363,299,363,322	has
571,295,571,279,600,279,600,295	ma
485,294,485,278,566,279,566,295	adversary
196,297,197,278,255,279,255,299	query-p
344,294,344,277,371,278,371,295	set
251,280,341,277,341,294,252,297	--prediction
398,276,449,275,450,295,398,295	(note
452,276,481,275,482,294,452,295	the
256,268,257,248,351,252,350,272	underlying
543,269,543,250,597,250,597,269	attack
401,267,401,252,500,252,500,267	distribution,
356,268,356,250,395,250,395,268	data
222,270,222,249,252,249,252,270	the
194,250,219,249,220,268,195,269	be
509,270,509,248,540,248,540,270	the
414,243,414,227,434,227,434,243	or
440,243,440,226,537,226,537,243	parameters.
299,225,408,222,409,239,300,242	architectures
219,227,268,225,269,241,219,243	terms
544,243,545,223,600,224,599,243	Forma
273,242,273,222,295,222,295,242	soft
570,216,570,200,587,200,587,216	to
520,198,564,196,565,215,521,217	aims
363,220,364,196,433,198,433,221	stealing
304,216,304,198,359,198,359,216	model
196,216,196,197,248,198,248,217	ferent
253,217,253,198,297,198,297,217	from
481,197,517,196,518,217,481,218	that
438,197,477,195,479,222,439,224	[54]
9,198,73,197,73,216,9,217	applied
98,213,98,194,147,194,146,214	avoid
73,196,94,194,96,214,75,216	data
427,193,427,173,478,174,477,194	query
482,173,562,172,563,191,482,192	interface.
248,172,314,172,314,192,248,193	through
196,196,196,171,227,171,227,196	ing
337,190,337,172,387,172,387,190	black-
0,188,0,172,33,172,33,188	cost
385,190,386,170,423,171,423,191	k-box
569,172,596,169,599,189,572,192	.No
90,187,91,169,147,171,146,189	nested
58,190,58,169,89,169,89,190	fther
36,189,36,170,58,170,58,189	toft
564,165,564,150,600,150,600,165	model
405,164,405,148,465,148,465,164	similar
296,147,397,147,397,165,296,165	functionally
79,148,151,146,152,165,79,167	parame-
507,148,561,146,562,163,508,165	victim
235,147,259,146,260,167,236,169	dby
264,167,264,146,290,146,290,167	0:10
195,164,196,143,234,145,233,166	ized
19,162,19,145,74,145,74,162	model
357,138,357,123,437,123,437,138	construct
196,138,196,122,280,122,280,138	adversary
540,138,541,121,596,122,595,139	model
333,138,333,123,351,123,351,138	to
459,122,535,120,535,138,459,140	replicate
285,139,285,121,329,121,329,139	aims
1,137,1,119,47,119,47,137	lation
111,138,111,118,149,119,148,139	>and
51,119,107,118,107,138,51,138	losses
571,97,599,97,599,114,571,114	ste
459,111,460,96,566,97,565,112	functionality
345,114,345,94,421,96,420,116	ystealing-
220,111,220,97,339,97,339,111	Functionality
435,113,435,94,455,94,455,113	-Ini
44,86,45,60,105,61,104,87	(O,a)
20,82,22,60,55,63,54,84	Lim(
307,79,307,61,343,61,343,79	two
346,60,433,60,433,78,346,79	objectives.
198,77,198,60,271,60,271,77	balances
275,79,275,58,305,58,305,79	the
285,48,285,43,297,43,297,48	the
257,51,257,38,272,38,272,51	to
196,36,251,35,251,55,197,56	inputs
554,57,555,33,600,36,599,59	hype
308,50,308,36,418,36,418,51	misclassified
422,34,460,33,460,53,423,54	into
285,38,296,37,296,43,285,43	be
521,53,521,32,553,33,552,54	the
483,33,518,32,518,51,484,52	and
560,26,560,11,599,11,599,27	ensu
516,25,516,10,558,11,558,26	term
244,25,245,9,322,11,322,28	correctly
196,27,196,11,215,11,215,27	to
450,25,450,8,512,8,512,25	second
328,10,411,9,411,25,328,26	classified,
417,8,449,8,449,26,417,27	,the
218,26,218,8,242,8,242,26	be
2,5,3,0,31,0,31,7	the
