0,188,119,188,119,247,0,248	ials
442,179,442,178,444,178,444,179	the
410,172,410,170,412,170,412,172	the
430,170,430,169,432,169,432,170	the
410,171,410,169,412,169,412,171	the
420,169,421,167,422,169,421,170	the
410,169,410,168,412,168,412,169	the
423,168,423,167,425,167,425,168	the
410,168,410,167,412,167,412,168	the
449,165,449,164,450,164,450,165	the
409,161,409,160,410,160,410,161	-
409,159,409,157,410,157,410,159	the
409,156,409,154,410,154,410,156	the
409,149,409,147,410,147,410,149	I
419,147,419,144,420,144,420,147	the
411,144,412,142,413,144,412,145	-
400,177,407,135,462,144,456,186	(9)
130,116,130,115,132,115,132,116	the
128,116,128,115,130,115,130,116	a
35,110,38,108,40,110,37,112	the
36,99,41,99,41,106,36,106	the
18,97,18,90,27,90,27,97	the
110,91,110,89,111,89,111,91	the
43,130,45,69,202,72,200,133	trials
