151,363,151,361,153,361,153,363	=
149,352,149,350,151,350,151,352	-
149,351,149,349,151,349,151,351	-
140,390,142,340,175,341,173,391	g
0,375,1,327,137,332,135,379	wing
209,376,214,318,473,339,469,397	observa-
347,252,347,250,349,250,349,252	the
142,241,149,241,149,243,142,243	-
49,228,300,207,306,278,55,300	against
323,279,323,212,487,213,486,280	both
442,65,442,63,445,63,445,65	the
446,63,446,61,448,61,448,63	I
443,63,443,61,445,61,445,63	the
449,60,449,58,451,58,451,60	-
441,60,441,58,443,58,443,60	the
435,59,435,56,437,56,437,59	-
451,57,451,55,453,55,453,57	I
3,71,4,28,101,30,100,74	zes
253,74,258,3,490,19,485,90	setting
132,73,132,11,234,11,234,73	the
