105,563,110,496,433,518,429,585	adversary
0,571,0,508,97,508,97,571	the
453,508,600,506,600,569,454,571	aims
142,452,142,450,148,450,148,452	-
157,450,157,447,160,447,160,450	the
158,446,174,446,174,451,158,451	Sender:
154,448,154,445,158,445,158,448	the
202,445,202,442,209,442,209,445	the
199,439,209,439,209,444,199,444	a
168,443,168,440,171,440,171,443	the
86,441,86,438,90,438,90,441	-
214,440,214,437,217,437,217,440	the
183,441,183,437,196,437,196,441	the
156,438,156,435,159,435,159,438	I
90,435,90,433,93,433,93,435	the
83,435,83,433,86,433,86,435	I
128,425,225,424,225,460,129,461	XS
89,433,89,430,91,430,91,433	the
86,433,86,430,89,430,89,433	the
243,421,489,413,491,465,245,474	current
49,465,51,410,107,412,104,468	is
508,469,508,403,599,403,598,470	cla
4,368,7,298,228,309,225,379	ording
258,311,327,305,332,367,263,373	to
362,304,516,302,517,364,363,366	their
356,210,538,198,543,261,360,274	given
0,266,0,190,304,203,301,279	ecifically
155,103,307,103,307,161,156,162	both
0,101,131,97,133,164,0,167	ider
376,160,378,91,591,96,590,165	difficul
333,121,336,92,377,97,374,126	66
337,59,338,5,541,9,540,63	assess
8,15,32,15,32,30,8,30	a
202,63,204,0,302,1,300,66	To
