479,589,480,522,600,524,599,591	par
264,516,465,512,466,573,265,576	attack
137,576,137,512,245,513,244,577	the
42,575,44,507,125,509,124,577	oft
299,477,299,413,472,413,472,477	most
40,414,281,407,282,470,42,476	second
489,412,598,410,599,469,490,471	like
416,373,416,311,598,311,598,373	adver
138,310,266,309,266,372,138,373	that
41,313,110,311,112,376,43,378	to
288,371,289,310,393,311,392,373	the
402,211,511,209,512,270,404,273	the
315,273,315,212,386,212,386,273	to
516,278,516,208,600,208,600,278	Cola
45,202,298,201,298,279,45,279	fication
185,168,186,115,340,118,339,171	case
41,171,41,106,173,106,173,171	cult
351,164,352,99,544,103,543,168	refers
188,66,188,62,198,62,198,66	the
199,58,202,55,205,58,202,60	I
198,59,198,55,200,55,200,59	the
176,68,176,52,215,54,214,69	the
173,46,173,43,176,43,176,46	the
169,45,172,42,174,44,171,48	the
181,41,181,38,183,38,183,41	I
157,65,166,31,188,36,179,70	C
37,70,46,18,147,35,138,88	C1,c
383,74,392,17,480,31,470,88	,Cms
