77,517,454,509,455,576,78,583	parameters.
523,469,523,465,526,465,526,469	I
523,459,559,456,561,478,525,481	2
505,469,517,432,552,444,540,480	C2
0,416,72,415,73,476,0,477	Dist
87,477,92,406,280,418,275,489	likely
309,479,310,405,478,406,477,480	class
570,352,570,349,573,349,573,352	the
13,374,17,301,339,316,336,389	adversary
557,362,557,322,590,322,590,362	to
368,370,368,306,529,306,529,370	aims
4,270,5,208,111,211,110,273	the
121,269,122,207,284,210,283,272	least
509,210,600,207,600,273,511,276	cla
297,211,484,210,485,280,298,282	likely
246,167,246,110,371,111,370,168	that
154,112,228,109,230,172,156,174	to
388,107,494,106,495,169,389,170	the
506,170,506,106,593,106,593,170	ad
0,168,0,100,142,102,141,170	efers
21,81,21,32,74,32,74,81	Cms
343,71,350,19,445,32,438,84	Cli
444,69,444,11,508,11,508,69	is
123,2,332,0,332,66,123,67	where
