94,474,94,407,504,411,504,478	summarizes
528,475,528,410,597,410,597,475	th
119,354,119,351,123,351,123,354	...
191,353,191,350,194,350,194,353	I
51,367,61,347,74,353,65,374	C
163,351,163,348,166,348,166,351	the
161,358,161,348,171,348,171,358	the
119,347,119,344,123,344,123,347	I
186,345,188,343,191,345,188,348	I
116,341,118,338,121,341,118,343	I
182,340,194,336,200,358,187,361	>
25,341,25,338,28,338,28,341	I
110,359,110,335,133,335,133,359	X
15,359,15,333,41,333,41,359	I
217,379,218,302,600,305,600,383	Sclassification
346,281,349,215,502,223,499,288	easy
520,224,596,221,599,272,523,276	ca
232,212,337,209,339,269,233,272	the
27,212,209,207,210,265,28,270	while
478,151,478,148,481,148,481,151	the
472,150,476,146,480,150,476,154	the
469,148,474,148,474,152,469,152	the
470,150,470,147,473,147,473,150	the
478,149,478,146,481,146,481,149	I
475,148,475,144,478,144,478,148	a
310,165,316,96,559,117,553,186	change
223,113,299,110,301,173,225,175	to
53,170,53,106,216,106,216,170	aims
0,68,0,9,91,10,91,69	ent
110,4,558,0,559,68,110,71	classification;
