227,486,227,427,531,427,531,487	COMMON
57,484,57,420,212,420,212,484	with
288,384,288,330,498,331,497,385	seems
12,324,271,318,272,378,13,384	evasion
511,385,517,311,600,318,600,391	fai
303,218,429,217,430,281,303,282	that
52,236,52,233,55,233,55,236	the
455,221,560,219,561,279,456,281	the
0,216,275,209,277,281,1,288	onclude
72,145,72,142,74,142,74,145	the
258,179,258,116,404,116,404,179	than
100,177,105,110,242,118,238,186	less
31,172,42,117,93,128,82,182	is
420,114,520,113,521,179,421,181	10i
519,117,594,112,598,178,524,183	in
499,88,505,27,600,35,598,97	age
247,81,248,19,482,21,482,83	attacks
0,79,0,16,231,19,230,81	cessful
