72,592,158,591,158,600,72,600	accuracy
166,600,166,588,227,588,227,600	serves
260,600,260,588,285,588,285,600	an
235,590,255,589,256,599,236,600	as
20,600,20,587,65,589,65,600	ENCE
451,600,451,585,525,587,525,600	privacy
530,600,530,585,599,586,599,600	leakao
290,600,290,586,380,586,380,600	indicator
385,600,385,584,410,584,410,600	of
419,584,445,583,446,599,420,600	I'm
36,577,37,556,112,559,112,580	appears
131,564,131,561,134,561,134,564	a
360,575,361,552,420,555,419,577	target
261,556,293,555,294,575,262,576	set
425,574,426,552,488,554,488,575	model
181,573,182,552,258,555,258,576	training
118,573,118,556,137,556,137,573	in
325,575,325,551,359,551,359,575	fthe
296,574,298,551,323,553,321,576	toft
142,552,175,551,176,574,143,575	the
566,574,566,551,600,551,600,574	info
520,551,562,549,564,575,521,577	Their
16,547,17,527,70,528,70,548	ence,
216,526,299,525,299,545,216,546	attempts
386,526,464,525,464,544,386,544	whether
303,526,326,525,326,544,304,545	to
112,546,112,523,209,525,208,549	adversary
506,547,506,523,562,523,562,547	given
330,523,380,522,380,544,330,545	infer
74,524,107,523,108,544,75,545	,the
565,548,566,521,600,522,599,549	hinp
468,523,501,523,501,544,469,545	the
440,513,440,495,561,495,561,513	membership
42,517,42,495,178,495,178,517	Membership
183,494,281,493,282,513,184,515	inference
566,515,566,493,599,493,599,515	pinf
372,493,411,492,412,513,372,514	Ithat
302,514,302,493,368,493,368,514	Recall
413,494,434,493,435,514,414,515	tini
333,478,334,456,403,458,402,480	model
242,458,328,458,328,479,242,479	replicate
57,475,58,459,171,461,170,477	architecture
203,457,237,455,238,479,204,481	fther
178,480,178,456,203,456,203,480	coft
14,457,50,454,53,478,16,481	the
83,434,100,433,101,445,84,446	to
18,450,18,430,77,430,77,450	easier
491,451,491,431,592,431,592,451	regardless
408,448,409,428,483,430,483,449	models,
195,447,195,431,318,431,318,447	functionality
106,430,153,429,153,449,106,450	steal
326,450,326,428,350,428,350,450	ofl
157,450,157,428,190,428,190,450	Ithe
352,427,403,426,403,448,352,449	fnas
493,416,493,411,503,411,503,416	all
569,400,591,400,591,420,569,420	to
144,399,200,398,200,419,144,420	result
510,399,565,398,565,419,511,420	tends
230,418,230,399,288,399,288,418	lower
56,418,57,396,122,399,121,420	model
351,420,351,395,445,398,444,423	implying
446,398,487,397,487,419,447,420	that
294,419,294,397,347,397,347,420	ACE,
205,417,205,399,225,399,225,417	in
18,418,18,397,54,398,53,419	timi
522,388,522,373,541,373,541,388	as
443,388,443,369,515,369,515,388	models
195,390,195,369,259,369,259,390	model
102,371,188,368,189,389,102,392	replicate
387,369,438,368,439,387,388,388	NAS
350,369,384,368,385,389,350,390	,the
290,390,291,367,345,368,345,390	fixed
17,369,61,369,61,388,17,389	with
544,369,578,366,580,388,546,390	the
65,389,65,367,100,367,100,389	the
194,342,227,341,228,359,195,360	are
121,357,121,343,137,343,137,357	as
487,359,487,339,571,339,571,359	Observe
235,344,354,342,355,356,235,359	summarized
395,359,395,338,454,338,454,359	Table
452,352,452,342,462,342,462,352	General
16,338,51,337,51,360,17,361	ber
144,362,146,333,192,336,190,365	8K)
57,360,57,336,110,336,110,360	fixed
568,313,600,312,600,331,569,332	Inu
505,336,505,309,565,309,565,336	query
275,331,275,311,304,311,304,331	SON
203,330,204,309,272,310,272,331	results
18,329,18,308,149,310,149,330	effectiveness
311,311,405,310,406,326,311,328	CIFARIO
