555,444,600,443,600,460,555,460	perform
478,456,478,443,535,443,535,456	estimate
536,458,536,443,553,443,553,458	told
443,457,443,442,476,442,476,457	such
228,436,270,436,270,448,228,448	shown
22,447,23,435,110,437,110,449	Membership
345,434,369,433,369,449,345,450	the
316,435,344,434,345,450,317,450	that
279,440,285,433,293,440,287,447	in
115,435,181,434,182,449,115,450	inference
370,448,370,433,405,434,405,449	NAS
293,441,293,437,302,437,302,441	a
196,451,196,433,227,433,227,451	-Itiss
586,439,586,424,600,424,600,439	sing
557,423,585,422,585,438,557,439	loss
524,439,524,421,556,422,556,441	highl
443,439,443,422,482,422,482,439	dient
485,438,485,422,523,422,523,438	while
125,427,126,413,161,414,161,428	more
343,412,400,412,400,428,343,429	stealing.
88,426,88,414,103,414,103,426	to
238,425,238,413,252,413,252,425	to
165,425,165,413,234,413,233,426	vulnerable
5,424,5,410,52,412,51,426	models
255,413,338,412,338,428,255,428	functionality
55,426,55,412,85,412,85,426	tend
105,412,123,411,123,426,106,427	be
444,417,444,405,500,405,500,417	variance
503,417,503,403,553,404,553,418	enables
579,403,599,403,599,419,579,419	cad
554,403,579,402,580,418,555,419	sthea
262,395,340,395,340,404,262,405	smoothness,
21,391,74,391,74,409,21,410	fqueries.
161,406,162,391,195,392,194,407	their
121,408,121,391,159,391,159,408	given
345,406,345,391,369,391,369,406	,the
229,391,258,389,259,405,230,407	loss
196,408,196,391,227,391,227,408	high
371,406,371,390,405,390,405,406	NAS
77,407,77,390,119,390,119,408	Thus
4,406,4,391,20,391,20,406	of
477,383,526,383,526,403,478,403	greatly
442,387,474,384,475,398,443,401	ness
529,400,529,382,578,382,578,400	impact
295,381,297,379,300,381,297,384	a
192,387,193,373,226,374,225,388	for
270,387,271,372,292,374,291,389	don
353,387,353,372,406,373,406,388	Inumber
62,386,62,372,121,372,121,386	hardness
230,372,271,371,271,386,230,387	based
304,385,304,372,351,372,351,385	limited
141,387,141,370,183,372,182,389	ffitting
36,371,60,370,61,386,37,388	STHE
2,372,37,370,38,388,4,390	plies
122,387,122,370,140,370,140,387	soff
444,377,444,363,509,364,509,378	turbation.
516,377,517,360,598,364,597,381	Interestingly
259,363,259,359,269,359,269,363	11
341,353,380,352,380,368,341,368	space
28,353,105,352,105,369,28,369	complexity
186,365,186,351,253,354,253,368	landscape
382,367,383,351,407,352,407,368	im-
301,368,301,351,338,351,338,368	input
154,367,154,351,183,351,183,367	loss
3,352,26,351,27,366,3,367	the
274,352,298,351,299,366,275,367	the
127,367,127,351,152,351,152,367	the
108,351,127,350,128,366,109,368	Yoft
461,358,461,346,485,346,485,358	use
571,358,572,344,600,345,600,359	testin
513,344,569,343,569,360,514,361	gradient
486,342,510,341,512,358,487,360	the
79,348,79,334,127,334,127,348	respect
2,333,43,333,43,349,2,349	scape
251,335,330,333,330,346,251,348	distribution;
336,345,336,331,403,333,403,347	intuitively
173,345,174,330,246,333,246,348	underlying
130,347,130,333,145,333,145,347	to
147,331,171,330,172,347,147,348	the
45,332,76,330,77,346,46,348	with
512,323,568,323,568,337,512,338	estimate
461,324,492,323,493,338,462,339	how
493,325,508,322,512,336,496,340	toe
569,323,593,321,594,338,570,339	the
334,320,334,317,337,317,337,320	I
298,327,298,314,318,314,318,327	on
332,325,332,316,338,316,338,325	is
241,327,241,312,296,312,296,327	depends
191,314,238,313,239,327,191,328	attacks
156,313,188,312,188,326,157,327	such
50,326,50,312,136,312,136,326	effectiveness
372,327,372,311,408,311,408,327	land-
342,313,369,311,371,326,343,328	loss
19,327,19,311,49,311,49,327	The
137,327,137,311,156,311,156,327	sofs
491,317,492,304,576,305,576,318	effectiveness
582,318,582,303,597,303,597,318	-of
459,302,489,301,489,319,459,320	The
107,298,107,296,109,296,109,298	I
139,307,139,293,166,293,166,307	and
101,307,101,294,114,294,114,307	by
32,308,32,292,95,292,95,308	disagreed
3,306,3,291,30,291,30,306	and
443,300,443,284,504,284,504,300	responds
548,299,549,283,600,285,600,300	updated
507,285,521,285,521,298,507,298	to
523,298,523,282,547,282,547,298	the
184,283,184,280,186,280,186,283	I
249,287,249,275,292,276,292,287	across
110,285,110,274,155,274,155,285	certain
85,274,107,274,107,287,85,287	are
356,286,356,273,404,273,404,286	classes,
182,285,182,275,192,275,192,285	f,
4,289,4,272,53,272,53,289	queries
295,286,295,272,352,272,352,286	different
198,273,246,272,246,285,198,286	diverse
161,289,161,274,177,274,177,289	by
54,272,82,271,82,286,55,286	that
526,279,526,264,586,264,586,279	estimate
508,276,513,263,526,269,521,282	to
443,280,443,264,506,264,506,280	requiring
329,268,329,254,404,255,404,269	encourages
110,268,110,254,138,254,138,268	rone
59,266,59,252,108,252,108,266	similar
5,266,5,251,54,253,54,268	tionally
261,253,325,252,325,267,261,267	Knockoff
195,267,196,250,256,252,256,270	instance,
166,268,166,251,194,251,194,268	For
510,244,570,243,570,260,510,260	injection
444,245,506,244,506,258,444,259	backdoor
574,262,575,243,600,244,600,263	opti
35,247,35,233,83,234,83,248	queries
3,248,3,233,32,233,32,248	ates
298,233,357,232,357,248,298,249	replicate
103,234,144,231,145,250,104,252	probe
281,246,282,233,294,234,294,246	to
87,247,87,233,102,233,102,247	to
219,247,220,231,264,232,264,248	model
173,231,216,231,216,247,173,247	victim
371,230,408,230,408,248,371,249	func-
146,232,170,230,171,247,147,248	the
582,239,582,224,600,225,600,240	Ian
525,241,525,223,582,223,582,241	gradient
444,238,444,223,498,224,497,239	timates)
500,222,525,221,525,239,501,240	the
364,231,364,213,410,213,410,231	gener-
210,228,210,213,274,213,274,228	adversary
29,231,29,212,66,213,66,232	(e.g.g.
70,227,70,212,134,212,134,227	Knockoff
1,232,2,211,28,212,27,234	ing
279,229,279,210,360,211,360,230	(adaptively)
181,212,206,211,206,228,181,229	the
139,229,139,210,179,212,178,230	144)
517,219,517,206,533,206,533,219	or
575,219,575,204,600,204,600,219	x-box
534,204,572,203,573,218,535,219	black
470,218,470,203,511,203,511,218	white
441,204,466,202,467,217,443,220	the
283,206,284,193,365,195,365,207	functionality
118,207,118,193,176,194,176,208	stealing
370,207,371,192,408,193,408,209	steal
264,205,267,192,280,195,277,208	tin
236,207,236,192,263,192,263,207	that
189,191,233,190,234,206,189,208	Recall
21,204,21,191,113,194,113,206	Functionality
444,186,528,183,528,198,444,200	perturbation.
560,198,560,183,600,183,600,198	rinstan
531,183,560,181,560,199,532,200	Fori
3,169,59,169,59,185,4,185	analysis
59,169,96,166,97,183,60,186	shere.
582,166,600,165,600,179,583,180	tex
544,165,581,164,581,179,544,180	smost
460,164,540,163,541,180,460,180	Specifically
140,166,141,151,180,152,179,167	space
289,150,321,150,321,163,289,164	omit
183,163,183,149,257,149,256,164	limitations,
263,150,286,150,287,163,263,164	we
95,162,96,151,110,151,109,163	to
351,162,352,147,405,149,405,164	detailed
2,148,54,148,54,165,2,165	jection.
113,164,113,148,138,148,138,164	the
59,166,59,148,93,148,93,166	Duc
324,164,324,148,349,148,349,164	the
510,158,510,144,560,144,560,158	factors.
480,158,481,143,508,145,508,159	two
443,159,443,144,480,144,480,159	these
393,139,393,135,396,135,396,139	I
3,145,3,130,53,130,53,145	vectors
391,142,391,132,405,132,405,142	in-
304,132,319,131,320,144,305,145	to
55,144,55,130,114,130,114,145	naturally
218,143,218,128,301,129,301,145	vulnerability
118,129,164,129,164,145,118,145	results
322,144,323,128,385,130,385,146	backdoor
182,144,182,129,215,129,215,144	their
165,144,165,130,179,130,179,144	in
542,139,542,124,590,125,590,139	attacks
482,137,482,124,537,125,537,138	different
443,139,443,123,476,123,476,139	tion:
107,110,191,109,191,125,107,126	vulnerability
256,123,256,110,306,110,306,123	models
364,124,364,109,407,109,407,124	attack
310,123,310,111,324,111,324,123	to
3,124,4,108,72,109,72,125	Therefore
328,123,329,108,360,109,360,124	both
196,124,196,109,212,109,212,124	of
78,109,102,108,103,125,79,125	the
216,108,251,107,251,123,217,124	INAS
499,122,499,104,555,104,555,122	gradient
558,119,558,104,599,104,599,119	varian
443,119,443,103,470,103,470,119	andl
471,119,471,103,497,103,497,119	How
270,101,270,98,273,98,273,101	I
299,99,299,94,303,94,303,99	1
262,98,280,93,283,104,265,109	Dim
88,105,88,89,153,90,153,106	poisoning
294,94,303,92,305,102,295,103	at
3,105,3,90,30,90,30,105	and
312,104,313,88,366,90,365,106	training
195,91,249,89,250,103,196,105	pollutes
37,104,37,89,81,89,81,104	model
161,89,190,89,191,104,161,105	that
371,88,409,87,409,105,371,105	time
524,86,555,85,556,101,525,101	may
577,101,578,85,600,87,600,104	case
443,85,473,84,474,99,443,100	ious
475,99,475,84,523,84,523,99	attacks
556,100,556,83,577,83,577,100	be
278,80,282,75,285,78,282,82	X
218,73,272,71,272,84,218,86	perturbs
132,84,132,71,181,72,181,85	evasion
309,83,309,70,370,71,370,84	inference
289,84,289,71,304,71,304,84	cat
56,72,125,71,125,82,56,83	adversarial
3,71,31,69,32,83,4,85	tors
373,69,406,68,407,84,373,84	time
186,70,213,68,214,84,187,86	that
34,84,34,69,50,69,50,84	GOF
518,78,518,65,558,66,558,79	above
471,78,471,65,516,65,516,78	shown
559,78,560,64,586,65,586,79	that
442,63,471,62,472,80,443,81	Itiss
378,66,378,51,408,51,408,66	vec-
172,66,172,49,244,50,244,67	essentially
333,64,333,49,374,49,374,64	attack
249,50,304,49,304,65,249,67	exploits
127,49,169,49,169,64,127,64	attack
21,65,21,50,90,51,90,66	Intuitively
305,65,305,49,330,49,330,65	the
96,47,124,47,125,64,97,65	this
17,44,17,34,28,34,27,45	Irn
491,45,491,32,593,33,593,45	Connections
188,30,235,29,235,45,189,46	inputs.
67,44,67,31,184,31,184,44	trigger-embedded
33,28,63,28,64,44,33,44	with
109,24,109,12,172,12,172,25	adversary
177,27,177,11,235,11,235,27	typically
375,25,375,10,407,10,407,25	data
319,25,320,9,373,11,373,27	training
238,11,293,10,293,26,238,28	pollutes
24,24,25,8,57,10,57,25	train
81,10,106,9,106,26,82,27	,the
294,10,318,9,319,24,295,25	the
3,25,3,8,22,8,22,25	Tot
249,1,259,0,261,5,251,8	the
196,4,196,1,202,1,202,4	-
0,0,18,0,18,9,0,9	the
261,6,261,0,312,0,311,8	and
18,5,18,0,58,0,58,5	and
61,3,61,0,95,0,94,5	HOVE
