0,575,39,575,39,599,0,600	no
51,591,51,568,240,574,239,597	Represent
75,530,75,528,76,528,76,530	the
74,530,74,528,75,528,75,530	the
28,524,28,523,29,523,29,524	-
27,522,27,521,28,521,28,522	I
9,540,11,517,35,518,34,541	In
38,544,39,506,242,512,242,550	Proceeding
23,469,23,468,24,468,24,469	the
107,492,107,458,242,459,242,492	fadvers
0,496,2,453,59,460,54,504	lity
69,492,69,455,113,455,113,492	of
198,433,198,431,199,431,199,433	we's
110,424,110,423,112,423,112,424	-
109,424,109,423,110,423,110,424	I
110,423,110,421,112,421,112,423	-
109,422,109,421,110,421,110,422	I
113,422,113,420,115,420,115,422	the
108,421,108,420,109,420,109,421	I
0,438,0,412,38,412,38,438	un
105,417,105,416,107,416,107,417	I
52,436,54,404,125,407,124,439	Ma
156,446,156,399,241,399,241,446	Skip
220,378,220,377,221,377,221,378	the
213,378,213,376,214,376,214,378	I
185,377,185,376,186,376,186,377	the
219,376,219,375,220,375,220,376	:
217,373,217,372,218,372,218,373	I
210,367,223,366,224,385,211,385	on
126,381,129,346,213,352,210,387	Wang
4,384,6,346,117,352,115,390	Yisen
49,292,49,287,53,287,53,292	coin
7,289,7,285,22,285,22,289	-
12,269,15,269,15,273,12,273	a
70,260,155,259,156,294,70,295	2021.
13,233,13,231,14,231,14,233	a
12,231,12,229,13,229,13,231	-
126,207,237,204,238,249,128,252	Confe
2,242,3,205,113,206,112,244	tional
107,176,107,174,108,174,108,176	the
107,175,107,173,108,173,108,175	the
107,174,107,172,108,172,108,174	the
0,162,34,162,35,188,0,188	on
107,167,107,166,108,166,108,167	-
46,154,87,154,87,188,47,189	in
94,189,95,146,242,149,242,192	Differer
169,120,169,119,171,119,171,120	mother
157,120,158,119,159,120,158,121	I
156,120,156,119,158,119,158,120	I
169,119,169,118,170,118,170,119	the
157,119,157,118,159,118,159,119	the
157,118,157,117,159,117,159,118	the
174,117,174,116,176,116,176,117	the
170,116,170,114,171,114,171,116	the
180,115,180,113,181,113,181,115	the
171,115,171,113,173,113,173,115	the
170,115,170,113,172,113,172,115	the
170,114,170,112,172,112,172,114	the
169,114,169,112,170,112,170,114	the
167,113,167,112,168,112,168,113	the
168,112,168,111,169,111,169,112	the
6,100,79,99,79,133,6,134	and
83,99,231,97,231,135,84,137	Cho-Jui
187,48,238,47,238,80,187,80	Ch
31,80,31,44,175,45,175,80	Minhao
