80,262,81,241,179,243,179,264	shows
194,263,195,239,255,240,255,264	that
497,238,589,236,589,263,497,265	adver-
0,264,1,235,65,238,64,265	This
321,234,471,234,471,265,322,265	principle
460,193,519,192,520,216,461,217	can
267,194,328,191,329,217,268,220	one
29,193,191,185,193,216,31,224	generated
535,218,535,186,600,186,600,218	also
339,218,339,184,447,185,447,218	model
204,217,204,184,255,185,255,219	for
221,155,222,154,223,155,222,156	the
0,169,0,145,46,145,46,169	ous
284,150,284,149,286,149,286,150	-
283,150,283,149,284,149,284,150	I
282,150,282,149,283,149,283,150	I
285,149,285,148,286,148,286,149	the
60,139,145,137,146,166,61,169	work
538,167,538,138,600,138,600,167	that
300,167,300,136,527,137,527,168	demonstrated
207,137,293,135,294,169,207,170	2,41]
158,136,212,132,214,168,160,172	[32
18,114,18,112,19,112,19,114	I
0,92,42,92,42,121,0,121	oss
494,117,497,83,600,93,599,127	image
321,116,321,88,380,90,379,117	For
394,118,394,85,484,86,483,119	basic
59,117,60,85,145,85,145,118	OCR
188,93,191,93,191,94,188,94	the
157,85,283,83,283,117,157,119	models
433,55,433,25,469,25,469,55	Ito
47,24,103,23,103,53,47,54	not
339,26,426,23,427,52,340,55	word
478,24,567,22,567,52,479,55	word
0,56,0,22,40,22,40,56	do
111,23,241,22,242,53,111,54	transfer
248,53,249,21,333,22,332,55	from
435,3,435,1,441,1,441,3	-
169,2,169,1,170,1,170,2	I
166,2,166,1,167,1,167,2	Webber's
238,6,240,0,257,1,256,9	and
187,1,197,0,198,3,187,3	a
156,3,156,0,171,0,171,4	-
588,0,596,0,596,2,588,2	-
585,1,588,0,588,1,586,2	a
448,3,448,0,461,0,461,3	19
402,2,402,0,415,0,415,3	a
365,0,393,0,393,3,366,3	-
315,2,315,0,322,0,322,2	-
294,2,294,0,307,0,307,3	-
232,0,241,0,241,2,232,3	the
42,2,42,0,48,0,48,2	-
