0,226,55,226,55,250,0,250	han
142,229,142,227,144,227,144,229	I
436,225,581,218,583,257,438,264	lexample
248,249,248,219,430,221,430,251	adversarial
68,250,68,220,118,220,118,250	the
125,258,128,212,240,219,238,265	digital
438,190,438,189,440,189,440,190	.
438,189,438,188,440,188,440,189	we's
438,188,438,187,440,187,440,188	a
334,180,335,179,337,180,335,181	I
339,180,339,179,340,179,340,180	mother
546,201,546,171,598,171,598,201	wh
263,175,409,168,411,208,265,215	sexamplei
451,200,451,167,526,169,525,202	14.3,
0,198,1,169,136,171,136,200	distance
200,198,201,169,260,172,258,201	this
414,203,414,169,446,169,446,203	is
142,199,142,169,191,170,191,200	for
187,142,187,141,188,141,188,142	the
184,140,184,139,185,139,185,140	-
475,125,600,122,600,151,476,154	success
333,148,333,122,434,124,434,149	shows
32,149,32,121,198,123,198,151	Tesseract
217,157,218,118,277,120,276,159	Fig.
269,101,269,72,317,72,317,101	set
321,102,323,70,359,71,358,103	to
191,100,191,69,262,70,262,101	DPI
109,100,110,69,184,70,184,100	with
362,101,363,69,409,70,408,102	72,
427,69,488,67,489,100,428,102	and
492,69,600,65,600,100,493,104	Isubmi
0,67,103,67,103,101,0,102	FORMAT
556,27,600,27,600,52,556,53	SC
317,51,317,28,360,28,360,51	on
437,22,536,22,536,59,438,59	paper,
192,51,194,22,302,27,300,57	image
3,51,3,20,186,23,186,53	adversarial
363,50,363,17,428,18,428,51	AA4
