244,237,244,236,246,236,246,237	I
24,233,24,232,26,232,26,233	-
110,230,110,229,111,229,111,230	mother
233,251,238,216,297,224,292,259	Fig.
188,220,226,219,227,251,189,252	in
362,249,362,221,399,221,399,249	In
35,224,182,215,184,257,37,265	lexamplei
2,249,3,220,33,221,32,250	al
322,199,322,170,412,170,412,199	times
16,199,18,171,47,173,44,202	is
148,170,249,168,250,200,148,202	which
53,200,53,170,126,170,126,200	14.3,
252,170,285,169,286,201,253,202	is
390,148,390,147,391,147,391,148	is
0,130,36,128,37,149,1,151	VS
258,125,402,121,403,158,259,162	example.
75,120,251,118,251,151,75,153	successful
219,71,271,70,272,100,220,101	the
277,73,413,72,414,99,277,100	scanned
27,68,89,67,89,100,28,101	and
94,68,212,67,212,100,94,101	Isubmit
250,48,250,33,270,33,270,48	1t
157,26,232,25,233,51,158,52	scan
39,59,39,23,136,24,136,60	paper,
258,30,260,30,260,32,258,32	the
378,51,379,21,413,23,413,52	to
285,52,285,20,365,20,365,52	back
