40,578,197,577,197,597,40,598	document
275,572,342,571,342,600,276,600	able
357,575,536,571,537,596,358,600	adversarial
544,568,597,565,600,600,546,600	Lim
4,527,84,526,85,552,4,554	word
98,523,197,522,198,554,98,555	which
445,521,598,520,598,557,445,558	technique
315,549,316,518,438,521,437,552	Similar
348,510,348,467,440,467,440,510	angle
270,508,272,466,336,468,335,510	ing,
495,500,495,470,576,472,575,502	view,
446,502,447,467,487,468,486,504	COFF
133,456,133,431,193,431,192,457	sur-
25,425,124,424,125,455,25,457	words
274,429,366,426,366,449,275,452	count
385,422,600,418,600,453,386,457	physical-wor
305,400,305,395,318,395,318,400	I'm
281,383,293,383,293,391,281,391	a
481,408,481,373,595,375,595,410	examp
48,404,48,376,201,379,201,407	Tesseract
373,401,373,371,469,371,469,401	These
283,379,283,376,297,376,297,379	1
430,322,523,320,524,350,430,351	world
275,320,415,318,416,353,276,355	physical
535,353,535,318,597,318,597,353	and
463,271,597,267,598,307,464,310	lexample
277,301,277,272,456,273,456,302	adversarial
430,250,430,221,598,221,598,250	realizabili
276,221,419,219,419,250,276,252	Physical
95,217,95,185,200,185,200,217	model
31,216,31,184,85,185,85,217	the
440,162,485,161,486,188,441,189	an
274,185,274,156,391,156,391,185	models
491,190,492,152,599,155,598,192	import
400,159,432,156,435,184,403,187	sis
2,166,3,133,119,136,118,169	raining
130,135,202,133,203,166,131,167	data
277,108,505,106,505,141,277,143	transferability
556,106,600,104,600,136,557,138	ftar
515,104,554,103,555,137,516,138	oft
126,123,129,86,198,92,195,129	eper-
71,85,124,84,125,117,71,118	the
422,58,534,56,535,87,423,90	attacks
274,58,409,53,410,88,275,93	targeted
550,96,550,52,600,52,600,96	[32
36,40,84,39,84,68,37,69	VS.
17,49,17,45,21,45,21,49	mother
6,46,19,41,22,49,9,53	to
95,38,192,35,193,66,96,68	classi-
468,9,595,6,596,40,469,43	targeted
273,8,390,3,392,40,275,44	amples
402,5,456,3,457,39,403,41	for
