460,538,545,537,545,567,460,568	work
300,538,444,530,447,566,302,575	previous
62,570,62,536,285,536,285,570	classification,
558,518,558,493,599,494,599,519	M
334,516,334,493,440,494,439,516	across
63,518,64,479,316,486,315,524	Transferability
458,517,458,484,544,484,544,517	OCR
513,453,513,428,594,428,594,454	trans
448,454,448,425,503,425,503,454	not
283,424,384,422,384,453,284,456	letters
393,454,393,422,440,422,440,454	do
106,452,106,421,273,422,273,453	individual
60,421,101,420,102,453,60,454	ofi
62,383,170,381,170,401,62,403	reason
186,376,503,373,503,404,187,407	(context-dependent
515,402,515,373,597,373,597,402	featu
269,327,434,325,434,357,269,358	separately
506,324,584,323,584,355,506,356	each
112,352,112,324,259,325,258,354	rendered
445,356,446,318,501,320,500,358	for
57,356,57,321,105,321,105,356	be
390,281,479,280,480,305,390,306	same
61,305,61,277,154,277,154,305	ment
491,306,492,272,580,273,580,307	word,
325,272,382,271,383,305,326,306	the
169,305,170,270,257,271,257,306	Even
266,271,321,269,322,306,267,307	for
554,256,554,230,598,230,598,256	an
61,230,172,228,173,254,62,256	cannot
358,226,468,222,470,260,359,264	pasted
234,259,235,221,348,224,347,262	simply
476,255,476,219,547,219,547,255	into
178,222,226,218,229,255,181,259	be
69,195,69,191,72,191,72,195	I
68,191,70,188,73,191,70,193	I
78,184,78,181,82,181,82,184	the
76,184,76,181,79,181,79,184	the
416,206,416,172,568,172,568,206	Tesseract
63,179,87,178,87,198,64,198	is
103,175,342,171,343,206,104,210	misrecognized
352,212,355,170,406,174,403,216	lby
354,156,354,132,397,132,397,156	an
411,151,412,129,586,130,586,152	adversarial
102,158,103,125,330,128,329,161	Consequently
59,104,60,73,212,77,211,109	rounding
214,81,259,69,267,102,222,114	git
62,32,235,30,235,54,62,56	recognizes
456,24,542,24,542,54,456,55	word
284,28,443,24,443,54,284,58	particular
551,54,555,21,599,26,596,59	de
411,13,411,0,453,0,452,13	Sender:
230,1,294,0,294,8,231,10	started
454,0,558,0,559,14,454,15	Subject:
60,6,61,0,96,1,95,10	the
