410,594,429,592,430,598,411,599	John
0,545,46,543,47,568,0,570	ous
62,567,62,538,145,539,145,568	work
302,566,302,537,521,539,521,568	demonstrated
535,537,600,536,600,567,535,568	that
155,574,156,533,288,535,287,576	132,41]
0,519,0,491,42,492,41,520	oss
496,523,497,487,599,490,598,526	image
162,514,163,485,289,488,288,517	models.
393,485,482,485,482,518,393,519	basic
318,486,381,484,382,519,319,521	For
57,518,57,483,145,485,145,520	OCR
47,425,105,424,105,453,47,454	not
342,424,425,422,426,452,343,454	word
112,422,238,421,238,455,112,456	transfer
482,452,482,421,574,422,574,453	word
246,455,246,420,330,420,330,455	from
0,454,0,423,41,423,41,454	do
432,421,472,420,473,454,433,456	to
286,375,469,373,469,403,286,405	adversarial
479,404,481,371,597,376,596,410	limages
115,410,115,371,265,372,265,411	features),
0,374,101,371,101,401,1,404	endent
19,340,19,337,22,337,22,340	I
512,354,513,331,597,332,597,355	same
21,340,21,336,25,336,25,340	I
195,353,196,323,366,327,365,357	document.
3,352,6,330,34,334,31,356	ly
106,355,106,323,185,323,185,355	each
379,356,379,321,444,321,444,356	For
450,355,451,320,506,321,505,356	the
46,321,99,320,100,355,47,357	for
0,283,76,282,76,302,0,303	same
517,277,600,277,600,306,518,307	must
92,306,92,274,183,274,183,306	word,
199,301,199,277,377,277,377,301	adversarial
388,305,390,272,506,277,504,311	images
154,257,154,229,200,229,200,257	an
369,227,490,226,491,253,369,254	another
506,254,506,224,590,225,590,254	docu-
205,258,207,221,309,226,307,263	image
0,254,0,221,72,222,71,255	sted
319,256,319,221,360,221,360,256	NOF
77,219,146,218,146,255,77,256	linto
440,200,440,179,594,180,594,201	document
17,203,17,174,170,178,169,207	Tesseract
185,201,186,176,217,177,215,202	in
260,176,423,170,425,206,261,212	particular
331,143,331,140,334,140,334,143	I
331,141,331,138,334,138,334,141	a
400,125,484,124,485,153,400,154	word
200,161,201,122,305,124,304,163	image
11,127,189,123,190,150,11,154	adversarial
497,126,592,123,593,153,498,156	which
325,148,325,127,346,127,346,148	of
534,55,534,32,593,33,592,56	sur-
299,33,347,30,349,55,300,58	on
426,27,521,25,522,53,426,55	words
56,56,56,23,144,24,144,56	word
357,56,357,24,411,24,411,56	the
157,55,157,22,290,24,289,57	depends
0,58,0,24,46,24,46,58	lar
347,5,347,2,350,2,350,5	the
463,11,463,0,589,1,589,13	personal
354,10,354,0,431,0,431,11	Subject:
57,13,57,0,158,0,158,14	probably
11,11,12,0,51,0,50,14	Sender:
