401,598,402,568,532,571,531,600	distance
360,592,363,572,386,576,383,595	L
273,570,339,569,340,600,274,600	The
538,600,539,567,594,568,593,600	for
4,564,4,537,121,539,121,565	astrated
137,569,137,535,202,535,202,569	that
437,549,437,521,596,526,596,554	Tesseract.
272,553,274,516,376,522,374,559	image
384,523,423,518,426,552,387,556	to
94,522,95,485,202,489,201,526	image
2,519,2,487,83,487,83,519	basic
508,470,581,467,582,498,509,501	with
390,471,501,469,502,500,391,502	format
274,467,379,465,380,506,275,508	digital
82,424,170,422,171,452,82,453	word.
33,455,33,423,70,423,70,455	Ito
404,421,583,420,583,451,404,453	adversarial
271,451,273,415,389,421,387,457	sulting
79,406,80,372,198,377,196,410	images
0,374,70,373,71,403,0,404	arial
484,405,485,371,598,372,598,407	predict
274,370,425,369,425,398,274,400	confident
439,406,440,365,479,367,477,407	in
113,354,113,330,200,332,199,356	same
0,324,44,323,45,356,0,358	FOR
50,355,50,321,104,321,104,355	the
430,353,430,319,498,319,498,353	loss
507,323,543,320,545,351,509,353	to
335,321,422,319,423,352,336,353	CTC
272,320,327,318,328,352,273,354	the
2,311,2,278,106,278,106,311	mages
119,279,200,278,201,305,119,305	must
275,274,454,271,454,298,276,301	adversarial
464,304,465,268,569,273,567,308	limage
0,226,92,225,93,255,0,256	other
108,252,108,226,195,227,195,253	docu-
499,250,499,218,594,219,594,251	levels
349,221,485,220,485,249,349,250	different
274,219,337,218,338,251,274,252	add
13,196,18,196,18,199,13,199	I
40,200,40,178,196,179,196,202	document
358,199,358,173,537,175,537,201	adversarial
275,171,344,170,345,200,276,202	able
545,167,600,166,600,204,546,205	lima
2,125,86,124,86,153,3,154	word
98,127,193,122,195,153,100,158	which
446,124,596,122,596,155,446,156	technique
316,150,317,121,438,123,437,152	Similar
322,83,322,80,325,80,325,83	:
348,68,440,67,440,108,348,109	angle
494,69,575,69,576,101,494,102	view,
270,106,272,65,336,67,335,109	ing
448,103,448,68,486,68,486,103	of
133,56,134,33,192,34,192,56	sur-
25,55,25,27,122,27,122,55	words
274,26,367,25,367,49,274,51	count
383,22,600,18,600,52,384,57	physical-work
71,11,72,0,201,0,201,13	server
