3,554,99,552,100,600,4,600	ork
369,600,369,550,566,550,566,600	mainly
126,552,350,549,351,596,127,600	focused
1,480,184,477,185,519,2,523	causes
338,482,338,479,341,479,341,482	the
205,468,296,467,296,520,205,521	the
502,468,564,466,565,521,504,523	to
308,519,308,462,490,463,489,521	model
148,388,422,383,423,445,149,450	lexamples,
5,384,134,381,136,432,7,435	sarial
460,384,597,381,598,432,461,434	wher
1,313,139,310,139,343,2,346	nown
160,347,160,297,268,297,268,347	that
282,293,417,292,417,361,283,362	deep
430,291,600,289,600,350,431,352	learni
406,267,409,213,595,221,593,275	compu
5,218,281,216,281,271,5,273	examples
291,279,291,207,399,207,399,279	for
46,34,46,31,49,31,49,34	I
67,18,281,11,283,68,69,75	Work
6,73,8,15,63,17,61,75	d
