188,600,188,564,264,564,264,600	on
284,598,284,560,459,560,459,598	image
485,600,486,555,593,557,593,600	clas
5,552,165,551,166,597,5,599	nainly
100,471,162,465,168,523,105,529	lto
3,466,92,464,93,519,5,521	del
177,467,411,459,412,518,179,525	produce
477,518,478,461,600,462,600,519	diffe
297,383,454,381,455,432,298,434	small
472,383,599,379,600,433,474,437	chan
59,380,234,377,235,433,60,436	where
511,348,512,306,599,307,599,349	are
286,296,494,294,495,348,286,350	models
36,346,39,289,273,301,270,357	learning
482,239,482,235,485,235,485,239	I
485,236,485,233,488,233,488,236	I
7,272,9,207,295,214,293,280	computer
312,207,505,205,506,261,313,263	vision.
