0,550,0,503,67,503,67,550	ms
258,509,468,506,468,543,259,546	amount
156,495,243,493,244,545,157,546	the
481,553,481,489,551,489,551,553	toff
76,549,76,490,147,490,147,549	soft
42,419,113,416,114,461,44,463	an
310,461,310,411,418,411,418,462	that
127,410,295,408,296,460,128,461	attack
421,468,423,404,600,410,600,474	timpro
219,356,219,353,222,353,222,356	I
0,385,0,318,189,322,188,389	output
489,325,599,324,600,378,490,379	labe
208,372,212,328,254,333,250,376	is
332,382,332,321,472,321,472,382	class
463,290,463,239,551,239,551,290	the
267,236,444,234,445,289,267,291	where
130,296,133,230,232,234,230,300	501,
124,204,125,151,354,155,353,208	focused
3,207,3,152,104,152,104,207	ork
362,205,365,146,565,158,562,217	mainly
1,76,184,76,184,118,1,119	causes
205,120,205,68,296,68,296,120	the
504,68,563,67,564,120,505,121	to
308,64,488,61,488,116,309,119	model
411,18,411,15,414,15,414,18	in
404,16,404,14,408,14,408,16	I
311,15,311,12,314,12,314,15	I
148,46,148,0,430,0,430,46	examples,
468,4,596,4,596,33,468,34	wner
0,31,0,3,135,3,135,31	arial
