236,548,236,498,456,500,456,550	success
2,495,106,493,107,544,3,546	tion
123,493,227,490,228,545,124,547	and
249,458,250,413,380,415,379,460	state
0,411,86,411,86,463,1,464	the
216,424,216,421,219,421,219,424	the
92,406,237,404,238,474,93,477	epriors
390,463,390,405,461,405,461,463	of
233,329,458,328,458,389,233,390	Wagner
106,320,215,316,217,374,108,378	and
2,375,5,318,89,322,86,379	lini
15,266,15,262,22,262,22,266	the
221,242,334,240,335,291,222,292	-size
349,236,430,235,431,290,350,292	im-
59,289,60,230,229,234,227,293	fixed-s
436,189,436,186,439,186,439,189	the
77,148,459,145,459,211,77,215	classification
334,119,339,66,440,75,435,128	out-
80,70,321,68,322,115,80,118	different
11,15,11,11,14,11,14,15	I
70,6,275,0,276,41,71,47	change
290,33,290,1,350,1,350,33	In
367,0,456,0,456,31,367,32	the
0,32,0,0,58,2,56,35	all
