40,404,40,352,114,353,114,404	be
363,350,582,350,582,415,363,416	applied
125,405,131,337,347,354,342,422	directly
345,309,345,307,347,307,347,309	I
390,295,390,293,392,293,392,295	the
363,276,512,260,518,317,368,333	signed
181,318,183,270,234,271,233,320	is
41,268,161,262,164,328,44,334	ples
258,319,259,262,376,265,374,322	desig
532,318,536,260,600,265,597,322	fo
508,191,599,189,600,234,509,235	me
39,183,153,179,154,232,41,236	rate
173,233,178,173,293,182,289,241	1101.
332,183,491,180,492,234,333,237	Their
580,138,580,133,593,133,593,138	-
565,138,565,127,581,127,581,138	-
305,144,307,94,468,99,466,149	terms
148,100,222,98,223,147,149,148	art
46,147,46,96,135,96,135,147	the
231,97,294,94,296,148,233,150	tint
477,148,478,91,550,92,549,149	soft
443,22,512,21,513,61,444,63	an
145,27,145,25,148,25,148,27	the
526,61,528,13,600,15,598,63	att
43,65,43,8,436,9,436,66	demonstrated
